CODICE FISCALE   HB5ORS AQJ F MZ ,  DATI ANAGRAFICI <START:Name> ABATE ABACO <END>  POK 26 02 1912 F ABANO TERME  AG CODICE FISCALE 
CODICE FISCALE W IA5RB6NFUTMC91 ,  DATI ANAGRAFICI <START:Name> SARTORI BUZZACARINI <END> O 4 2 O 2011 AZZATE  CODICE FISCALE
CODICE FISCALE  MJIUYKV5TGECQRH ,  DATI ANAGRAFICI <START:Name> SARTORIO BUZZACCHI <END> 5 1 9 4 4 2 4 7  AZZIO  CODICE FISCALE
CODICE FISCALE  L A5KZG R6BSYQV ,  DATI ANAGRAFICI <START:Name> SARTRADORI BUZZELLI <END> 6OO31914 AZZONE  CODICE FISCALE
CODICE FISCALE XSIN 9Y8 OCQG VE ,  DATI ANAGRAFICI <START:Name> SARZETTI BUZZETTA <END> OO75 1906 BACENO  CODICE FISCALE
CODICE FISCALE K ZESU 569M1DPON ,  DATI ANAGRAFICI <START:Name> SASA BUZZI <END>  693 O5  O0 BACOLI  CODICE FISCALE
CODICE FISCALE OMF6HUYZ C 1TW K ,  DATI ANAGRAFICI <START:Name> SASOLES BUZZO <END> 22031965 BADALUCCO  CODICE FISCALE
CODICE FISCALE MVPZCJT81 E HXQG ,  DATI ANAGRAFICI <START:Name> SASSAIUOLI CABEI <END> 27 05 1914 BADESI  CODICE FISCALE
CODICE FISCALE J6OA1 CDYP8  KX9 ,  DATI ANAGRAFICI <START:Name> SASSESDI CABELLA <END> 0904 1943 BADIA  CODICE FISCALE
CODICE FISCALE AS8XIWB 5VZ  GE1 ,  DATI ANAGRAFICI <START:Name> SASSETTI CABELLE <END> 0 4 7 4 2019 BADIA CALAVENA  CODICE FISCALE
CODICE FISCALE JTVD1Q8POCWGMKX  ,  DATI ANAGRAFICI <START:Name> SASSI CABERNA <END> O 5 1 6 2 9 2 1  BADIA PAVESE  CODICE FISCALE
CODICE FISCALE ZJ6E RMBUSIVC1P  ,  DATI ANAGRAFICI <START:Name> SASSO CABIANCA <END> O5351917 BADIA POLESINE  CODICE FISCALE
CODICE FISCALE  MNI K9QGY C8SVL ,  DATI ANAGRAFICI <START:Name> SASSONI CABONI <END> 4754 1909 BADIA TEDALDA  CODICE FISCALE
CODICE FISCALE NWXFHU ORE8I 9CM ,  DATI ANAGRAFICI <START:Name> SASSUGGIA CABOTTO <END>  O652 1 74  BADOLATO  CODICE FISCALE
CODICE FISCALE QZT  IYKG 5XRBF1 ,  DATI ANAGRAFICI <START:Name> SATIRO CABRUSA <END> 29081999 BAGALADI  CODICE FISCALE
CODICE FISCALE  OZ86MLXPG WIS Q ,  DATI ANAGRAFICI <START:Name> SATREGNO CABTELMI <END> 17 01 1970 BAGHERIA  CODICE FISCALE
CODICE FISCALE  6D8OLG  KVA9S N ,  DATI ANAGRAFICI <START:Name> SATTI CACACE <END> 2811 1925 BAGNACAVALLO  CODICE FISCALE
CODICE FISCALE  VT  P8 1RYC9FM6 ,  DATI ANAGRAFICI <START:Name> SAULLE CACARSA <END> 6 6 3 8 2003 BAGNARA CALABRA  CODICE FISCALE
CODICE FISCALE  9ROBYK5M6WD VQE ,  DATI ANAGRAFICI <START:Name> SAURA CACCAVELLA <END> 5 3 6 O 5 0 O 1  BAGNARA DI ROMAGNA  CODICE FISCALE
CODICE FISCALE YPKRN XW CE O6 V ,  DATI ANAGRAFICI <START:Name> SAURO CACCHINALE <END> 75221909 BAGNARIA  CODICE FISCALE
CODICE FISCALE NJC VDKA9 6UHRLE ,  DATI ANAGRAFICI <START:Name> SAUSAUE CACCHIONE <END> 5678 1910 BAGNARIA ARSA  CODICE FISCALE
CODICE FISCALE QI MG5XS6J 198ZE ,  DATI ANAGRAFICI <START:Name> SAVANELLA CACCI <END> 85 4 03 79O1  BAGNASCO  CODICE FISCALE
CODICE FISCALE 8BVF 65 PHLYK  N ,  DATI ANAGRAFICI <START:Name> SAVANELLI CACCIA <END> 05021920 BAGNATICA  CODICE FISCALE
CODICE FISCALE TBHE5 ZISLCDGQPX ,  DATI ANAGRAFICI <START:Name> SAVARESE CACCIABUE <END> 03 07 1983 BAGNI DI LUCCA  CODICE FISCALE
CODICE FISCALE F8BWC6AHTYL9  S5 ,  DATI ANAGRAFICI <START:Name> SAVATO CACCIACARRO <END> 0811 1930 BAGNO A RIPOLI  CODICE FISCALE
CODICE FISCALE 9DJ E FON XQH KA ,  DATI ANAGRAFICI <START:Name> SAVERIA CACCIAGUERRA <END> O 6 O O 2010 BAGNO DI ROMAGNA  CODICE FISCALE
CODICE FISCALE BX EVHNJ PSD K 5 ,  DATI ANAGRAFICI <START:Name> SAVERINO CACCIALANZA <END> 3 5 7 4 8 0 O 5  BAGNOLI DEL TRIGNO  CODICE FISCALE
CODICE FISCALE   9GSAP81ZYJ BEW ,  DATI ANAGRAFICI <START:Name> SAVIA CACCIALUPI <END> 73781912 BAGNOLI DI SOPRA  CODICE FISCALE
CODICE FISCALE JCYMASDTGLEOWB X ,  DATI ANAGRAFICI <START:Name> SAVIO CACCIAMALI <END> 6660 1907 BAGNOLI IRPINO  CODICE FISCALE
CODICE FISCALE JDFET I6PK L YOW ,  DATI ANAGRAFICI <START:Name> SAVIOLI CACCIANEMICI <END>  1749 36 O0O2 BAGNOLO CREMASCO  CODICE FISCALE
CODICE FISCALE I1DN  Y AEBFGU8T ,  DATI ANAGRAFICI <START:Name> SAVOIA CACCIARU <END> 18011984 BAGNOLO DEL SALENTO  CODICE FISCALE
CODICE FISCALE KN FE1RY W9M  PH ,  DATI ANAGRAFICI <START:Name> SAVOIARDO CACCIATO <END> 27 03 1945 BAGNOLO DI PO  CODICE FISCALE
CODICE FISCALE ZR 9F5 H1QWMYUIA ,  DATI ANAGRAFICI <START:Name> SAVORETTI CACCIATORE <END> 0904 1956 BAGNOLO IN PIANO  CODICE FISCALE
CODICE FISCALE LE1RKIN 9APXG8SD ,  DATI ANAGRAFICI <START:Name> SAVS CACCINI <END> O 5 9 3 2006 BAGNOLO MELLA  CODICE FISCALE
CODICE FISCALE EVTZYK1 MUO AL5  ,  DATI ANAGRAFICI <START:Name> SBARBARO CACCIO <END> 6 4 0 9 4 2 O O  BAGNOLO PIEMONTE  CODICE FISCALE
CODICE FISCALE F5UO9  HEMSIQCXR ,  DATI ANAGRAFICI <START:Name> SBARBATO CACCIOFFO <END> 66091919 BAGNOLO SAN VITO  CODICE FISCALE
CODICE FISCALE  ZRV5FISK1DOHJN  ,  DATI ANAGRAFICI <START:Name> SBERNA CACCIOLA <END> 12O5 1919 BAGNONE  CODICE FISCALE
CODICE FISCALE DZ 5THG YQ EKOJI ,  DATI ANAGRAFICI <START:Name> SCACCHETTI CACCIONE <END> 60O735 4 9O2 BAGNOREGIO  CODICE FISCALE
CODICE FISCALE DSAW COH8TQPV6   ,  DATI ANAGRAFICI <START:Name> SCACCIALOSSI CACCIOPPOLI <END> 29051917 BAGOLINO  CODICE FISCALE
CODICE FISCALE DGLC KRJS6 OQ8 V ,  DATI ANAGRAFICI <START:Name> SCACCIANOCE CACCIOTTI <END> 08 09 1994 BAIA E LATINA  CODICE FISCALE
CODICE FISCALE RD89GEWY AMJSQXN ,  DATI ANAGRAFICI <START:Name> SCACCIATO CACCIUNE <END> 2603 1960 BAIANO  CODICE FISCALE
CODICE FISCALE ATPX J R51ONGMDU ,  DATI ANAGRAFICI <START:Name> SCADUTO CACCO <END> 7 5 5 O 2019 BAIRO  CODICE FISCALE
CODICE FISCALE IP AXCG HDB91 N8 ,  DATI ANAGRAFICI <START:Name> SCAFA CACCOME <END> 9 3 8 O 6 9 8 2  BAISO  CODICE FISCALE
CODICE FISCALE     UGWBP56R JN8 ,  DATI ANAGRAFICI <START:Name> SCAFENI CACCUME <END> 73831915 BAJARDO  CODICE FISCALE
CODICE FISCALE BL ID6  K PX  CZ ,  DATI ANAGRAFICI <START:Name> SCAFETTI CACCUMI <END> 9602 1913 BALANGERO  CODICE FISCALE
CODICE FISCALE 19 XHISZ B F8W6  ,  DATI ANAGRAFICI <START:Name> SCAFFA CACICIA <END> 6  87 19534 BALDICHIERI D'ASTI  CODICE FISCALE
CODICE FISCALE C56M1PHFZVE GW9J ,  DATI ANAGRAFICI <START:Name> SCAGLIANO CACIO <END> 28021917 BALDISSERO CANAVESE  CODICE FISCALE
CODICE FISCALE  1TGRIU6JB  W AE ,  DATI ANAGRAFICI <START:Name> SCAGLIONE CACIOFFO <END> 16 02 1950 BALDISSERO D'ALBA  CODICE FISCALE
CODICE FISCALE  C L1 GRU Q8 TOK ,  DATI ANAGRAFICI <START:Name> SCALA CACIOLA <END> 2107 1915 BALDISSERO TORINESE  CODICE FISCALE
CODICE FISCALE D8B  IFN YUCWLTG ,  DATI ANAGRAFICI <START:Name> SCALABRINI CACIOPPI <END> 2 9 4 O 2002 BALESTRATE  CODICE FISCALE
CODICE FISCALE  WNGZPO98L1FAMX  ,  DATI ANAGRAFICI <START:Name> SCALAMANDRI CACIOPPO <END> 5 1 6 5 6 7 3 2  BALESTRINO  CODICE FISCALE
CODICE FISCALE CZG9KSQ1  E I F  ,  DATI ANAGRAFICI <START:Name> SCALANGELO CACUME <END> 03761919 BALLABIO  CODICE FISCALE
CODICE FISCALE R USACG M ONVT9W ,  DATI ANAGRAFICI <START:Name> SCALCO CACUMI <END> 2461 1914 BALLAO  CODICE FISCALE
CODICE FISCALE 5FTHAS6XLVQWUEDB ,  DATI ANAGRAFICI <START:Name> SCALDAFERRI CADAMOSTO <END> 9  176O  O5  BALME  CODICE FISCALE
CODICE FISCALE JK PEW1VH RCS TF ,  DATI ANAGRAFICI <START:Name> SCALETTA CADAVERO <END> 23011963 BALMUCCIA  CODICE FISCALE
CODICE FISCALE WL O5FZ CU D6GH1 ,  DATI ANAGRAFICI <START:Name> SCALFO CADDATO <END> 12 02 1975 BALOCCO  CODICE FISCALE
CODICE FISCALE   LSK 6 NHJY1EIX ,  DATI ANAGRAFICI <START:Name> SCALI CADEMARTORI <END> 1909 1975 BALSORANO  CODICE FISCALE
CODICE FISCALE  A E CI96GWNR Z8 ,  DATI ANAGRAFICI <START:Name> SCALIA CADEMATORI <END> 1 0 3 6 2014 BALVANO  CODICE FISCALE
CODICE FISCALE C9BPS IOFVE 5L6K ,  DATI ANAGRAFICI <START:Name> SCALICI CADONI <END> 0 2 2 2 O 4 3 O  BALZOLA  CODICE FISCALE
CODICE FISCALE DNRV FMKQZXE 95B ,  DATI ANAGRAFICI <START:Name> SCALIO CAETI <END> 96451919 BANARI  CODICE FISCALE
CODICE FISCALE RBYLPFE5NS  1 MU ,  DATI ANAGRAFICI <START:Name> SCALISE CAEZZA <END> OO29 1900 BANCHETTE  CODICE FISCALE
CODICE FISCALE   WX PFID UJ1G E ,  DATI ANAGRAFICI <START:Name> SCALOGNA CAFACE <END> O39 8 6017 4 BANNIO ANZINO  CODICE FISCALE
CODICE FISCALE B HOTXW6 8YFKUP9 ,  DATI ANAGRAFICI <START:Name> SCALOSA CAFARELLI <END> 08111946 BANZI  CODICE FISCALE
CODICE FISCALE BUZRP85YF D6KS1O ,  DATI ANAGRAFICI <START:Name> SCALTRITO CAFASSA <END> 01 08 1946 BAONE  CODICE FISCALE
CODICE FISCALE CZQF NJRWXL9YI6  ,  DATI ANAGRAFICI <START:Name> SCALULLO CAFERELL <END> 0305 1911 BARADILI  CODICE FISCALE
CODICE FISCALE PYBMC FJWEVZDTIK ,  DATI ANAGRAFICI <START:Name> SCALZITTI CAFFARO <END> 1 4 7 2 2016 BARAGIANO  CODICE FISCALE
CODICE FISCALE 91BI 5NAGUQJX FC ,  DATI ANAGRAFICI <START:Name> SCALZO CAFFETTO <END> 5 O 2 O 2 O 2 7  BARANELLO  CODICE FISCALE
CODICE FISCALE E1J NF9RQIUP C G ,  DATI ANAGRAFICI <START:Name> SCAMAPIECO CAFIERO <END> 24O41917 BARANO D'ISCHIA  CODICE FISCALE
CODICE FISCALE  TNLOZ5WQPEBU1GA ,  DATI ANAGRAFICI <START:Name> SCAMBERTI CAFONE <END> 9138 1910 BARANZATE  CODICE FISCALE
CODICE FISCALE 5 QUCX8  IBM6K9N ,  DATI ANAGRAFICI <START:Name> SCAMO CAFRAIN <END> 3 5178O  9 0 BARASSO  CODICE FISCALE
CODICE FISCALE W  8JDO  I 65KBF ,  DATI ANAGRAFICI <START:Name> SCAMPATO CAFRANIA <END> 09091914 BARATILI SAN PIETRO  CODICE FISCALE
CODICE FISCALE WRJXKY8ACSNQIPFH ,  DATI ANAGRAFICI <START:Name> SCANCO CAGERIO <END> 25 01 1921 BARBANIA  CODICE FISCALE
CODICE FISCALE L9OQAJXU 6TDK1VW ,  DATI ANAGRAFICI <START:Name> SCANDALIATO CAGGIANI <END> 1907 1965 BARBARA  CODICE FISCALE
CODICE FISCALE OC XW Z9  KUH5ND ,  DATI ANAGRAFICI <START:Name> SCANNABECCHI CAGGIANO <END> 9 5 4 O 2000 BARBARANO ROMANO  CODICE FISCALE
CODICE FISCALE  9 XG8Y TKFZWIE  ,  DATI ANAGRAFICI <START:Name> SCANNAGATTI CAGGIOLA <END> 8 1 8 2 6 O 7 5  BARBARANO MOSSANO  CODICE FISCALE
CODICE FISCALE W1D5LJCZK QGN6U  ,  DATI ANAGRAFICI <START:Name> SCANNATOPI CAGLIA <END> OO351907 BARBARESCO  CODICE FISCALE
CODICE FISCALE D ABM89RS VGUTJ  ,  DATI ANAGRAFICI <START:Name> SCANZA CAGLIANO <END> 037O 1911 BARBARIGA  CODICE FISCALE
CODICE FISCALE OIS5BCV1KL U WH8 ,  DATI ANAGRAFICI <START:Name> SCAPATI CAGLIARDE <END> 6792  051 8O BARBATA  CODICE FISCALE
CODICE FISCALE GTQHAPJVFRI1 6 8 ,  DATI ANAGRAFICI <START:Name> SCAPECCHI CAGNI <END> 15111966 BARBERINO DI MUGELLO  CODICE FISCALE
CODICE FISCALE K6 DCBPNA VEW 8  ,  DATI ANAGRAFICI <START:Name> SCAPELLITI CAINO <END> 26 03 1935 BARBERINO TAVARNELLE  CODICE FISCALE
CODICE FISCALE U 5NQIXFR6  EHKO ,  DATI ANAGRAFICI <START:Name> SCAPIGLIATI CAINPIO <END> 2704 1988 BARBIANELLO  CODICE FISCALE
CODICE FISCALE 8TDO  KL 1A RYMG ,  DATI ANAGRAFICI <START:Name> SCAPOCCHIO CAIO <END> 5 9 3 7 2016 BARBIANO  CODICE FISCALE
CODICE FISCALE 96OJZRG 8DAWLX5B ,  DATI ANAGRAFICI <START:Name> SCARABELLI CAIOLA <END> 5 7 3 2 5 5 O O  BARBONA  CODICE FISCALE
CODICE FISCALE NUX5MY8ZKR9G1EO6 ,  DATI ANAGRAFICI <START:Name> SCARAMOUCHE CAIROLI <END> O49O1908 BARCELLONA POZZO DI GOTTO  CODICE FISCALE
CODICE FISCALE TFHKB  5V6PIJ  W ,  DATI ANAGRAFICI <START:Name> SCARAMUCCIA CAJAZZO <END> 8029 1918 BARCIS  CODICE FISCALE
CODICE FISCALE  E6BK5UNPLXG 9VF ,  DATI ANAGRAFICI <START:Name> SCARANGELO CAJNPINO <END> 0 35 9O17682  BARD  CODICE FISCALE
CODICE FISCALE 5GYF K PT9ISXWVD ,  DATI ANAGRAFICI <START:Name> SCARANO CALABRAISE <END> 29031916 BARDELLO  CODICE FISCALE
CODICE FISCALE Z5IRVP B9ML EAT6 ,  DATI ANAGRAFICI <START:Name> SCARARO CALABRASE <END> 14 08 1908 BARDI  CODICE FISCALE
CODICE FISCALE XZW J SHFO A1Q8M ,  DATI ANAGRAFICI <START:Name> SCARBINI CALABREA <END> 1806 1942 BARDINETO  CODICE FISCALE
CODICE FISCALE FTUAGXVJPOW56L E ,  DATI ANAGRAFICI <START:Name> SCARCELLA CALABREESE <END> O 1 3 7 2018 BARDOLINO  CODICE FISCALE
CODICE FISCALE BPE  ZV56UHI F8R ,  DATI ANAGRAFICI <START:Name> SCARDAPANE CALABRESE <END> 8 9 2 5 4 O 0 1  BARDONECCHIA  CODICE FISCALE
CODICE FISCALE EPIMQCVRLNDT SKH ,  DATI ANAGRAFICI <START:Name> SCARDENO CALABRIA <END> 78291904 BAREGGIO  CODICE FISCALE
CODICE FISCALE U VN1 WYMFH OSLK ,  DATI ANAGRAFICI <START:Name> SCARDILLI CALABRO <END> O352 1915 BARENGO  CODICE FISCALE
CODICE FISCALE RMFK9IU5SDL ZAGV ,  DATI ANAGRAFICI <START:Name> SCARDINA CALACE <END> 2O 075O 48 63 BARESSA  CODICE FISCALE
CODICE FISCALE 6Y9 LME  PCGFHWN ,  DATI ANAGRAFICI <START:Name> SCARDINO CALAFATE <END> 22111910 BARETE  CODICE FISCALE
CODICE FISCALE FZBOR8YSGA  5JUW ,  DATI ANAGRAFICI <START:Name> SCARDOVELLI CALAFIORE <END> 05 07 1925 BARGA  CODICE FISCALE
CODICE FISCALE BXTWU9VLPMQG 6   ,  DATI ANAGRAFICI <START:Name> SCARFIA CALAFIURE <END> 0210 1934 BARGAGLI  CODICE FISCALE
CODICE FISCALE ADFVHOU1WN5ZEIMT ,  DATI ANAGRAFICI <START:Name> SCARFONI CALALAIE <END> 3 5 O 3 2004 BARGE  CODICE FISCALE
CODICE FISCALE NHJWICMQD1F9K  8 ,  DATI ANAGRAFICI <START:Name> SCARI CALALICO <END> 2 O 5 0 2 4 1 O  BARGHE  CODICE FISCALE
CODICE FISCALE J KYIUPD ABH9WGQ ,  DATI ANAGRAFICI <START:Name> SCARIANO CALALRISE <END> 56541916 BARI  CODICE FISCALE
CODICE FISCALE  Q185TFNWMLJZU P ,  DATI ANAGRAFICI <START:Name> SCARICACIOTTOLI CALAMAI <END> O941 1916 BARI SARDO  CODICE FISCALE
CODICE FISCALE N EB5FLIV1DXTRU  ,  DATI ANAGRAFICI <START:Name> SCARIDINO CALAMANDREA <END>   72O 13  O60 BARIANO  CODICE FISCALE
CODICE FISCALE M XPLUZF6H5RAT8K ,  DATI ANAGRAFICI <START:Name> SCARINGELLA CALAMIA <END> 03081943 BARICELLA  CODICE FISCALE
CODICE FISCALE LWIJ8NXS5FAHMUC  ,  DATI ANAGRAFICI <START:Name> SCARINNO CALAMIDA <END> 19 10 1949 BARILE  CODICE FISCALE
CODICE FISCALE XD P UTFG Y1JCHS ,  DATI ANAGRAFICI <START:Name> SCARITINO CALAMITA <END> 1708 1911 BARISCIANO  CODICE FISCALE
CODICE FISCALE EVITG ABULH6SN5O ,  DATI ANAGRAFICI <START:Name> SCARLATA CALAMO <END> 5 9 2 8 2008 BARLASSINA  CODICE FISCALE
CODICE FISCALE U6CB WQXR ZGDPEJ ,  DATI ANAGRAFICI <START:Name> SCARLATI CALAMUSO <END> 5 0 6 5 O O 5 O  BARLETTA  CODICE FISCALE
CODICE FISCALE V1 ZH ATEC6 DNRP ,  DATI ANAGRAFICI <START:Name> SCARLO CALANDA <END> 939O1905 BARNI  CODICE FISCALE
CODICE FISCALE FE9UZL NW1GBAID  ,  DATI ANAGRAFICI <START:Name> SCARMATO CALANDNIO <END> O486 1914 BAROLO  CODICE FISCALE
CODICE FISCALE LEWNIP5 RTBFKZ U ,  DATI ANAGRAFICI <START:Name> SCARNATI CALANDO <END> 0 9165 8O3   BARONE CANAVESE  CODICE FISCALE
CODICE FISCALE    UH89 VWN RFJK ,  DATI ANAGRAFICI <START:Name> SCARNAVACK CALANDRA <END> 30071945 BARONISSI  CODICE FISCALE
CODICE FISCALE VYATF6QW5P KR NE ,  DATI ANAGRAFICI <START:Name> SCARO CALANDRI <END> 01 07 1941 BARRAFRANCA  CODICE FISCALE
CODICE FISCALE QZJBKE9OT WP GDM ,  DATI ANAGRAFICI <START:Name> SCAROLA CALANNI <END> 1508 1963 BARRALI  CODICE FISCALE
CODICE FISCALE 9MIZA5E 6 HTGF   ,  DATI ANAGRAFICI <START:Name> SCAROTTO CALANNIA <END> 0 O 0 O 2018 BARREA  CODICE FISCALE
CODICE FISCALE  ZDWM FQO L N8HK ,  DATI ANAGRAFICI <START:Name> SCARPA CALARACO <END> 2 1 O 8 4 O 6 1  BARUMINI  CODICE FISCALE
CODICE FISCALE LFE YZ WG6ODATI1 ,  DATI ANAGRAFICI <START:Name> SCARPACE CALASILETTA <END> 38101914 BARZAGO  CODICE FISCALE
CODICE FISCALE GR  POVHCIUQE XZ ,  DATI ANAGRAFICI <START:Name> SCARPARI CALATANO <END> 641O 1912 BARZANA  CODICE FISCALE
CODICE FISCALE L D OJSK59R8TZN  ,  DATI ANAGRAFICI <START:Name> SCARPAZZA CALATO <END>  51O  0O89643 BARZANÒ  CODICE FISCALE
CODICE FISCALE EOTVGJK6 9YD SUN ,  DATI ANAGRAFICI <START:Name> SCARPE CALCAGNADORO <END> 18051952 BARZIO  CODICE FISCALE
CODICE FISCALE  HYLEF9 DSKJ6ZC  ,  DATI ANAGRAFICI <START:Name> SCARPELLI CALCAGNO <END> 01 10 1988 BASALUZZO  CODICE FISCALE
CODICE FISCALE WADXQ1L 6K9V5ITR ,  DATI ANAGRAFICI <START:Name> SCARPELLINI CALCIANO <END> 1607 1966 BASCAPÈ  CODICE FISCALE
CODICE FISCALE KFG6JD U XVPR9A1 ,  DATI ANAGRAFICI <START:Name> SCARPETTA CALCIONE <END> O 8 3 2 2010 BASCHI  CODICE FISCALE
CODICE FISCALE  OYZNUCJWS K HF6 ,  DATI ANAGRAFICI <START:Name> SCARPIERO CALCORGNO <END> 9 1 7 7 3 3 O 1  BASCIANO  CODICE FISCALE
CODICE FISCALE IK8 UE9C WRF1MDB ,  DATI ANAGRAFICI <START:Name> SCARPINATO CALDARA <END> 91501907 BASELGA DI PINÈ  CODICE FISCALE
CODICE FISCALE OPA YBLQD6K ZC9  ,  DATI ANAGRAFICI <START:Name> SCARPONE CALDARAL <END> 0801 1901 BASELICE  CODICE FISCALE
CODICE FISCALE 9 CRUDVKS58EIAFT ,  DATI ANAGRAFICI <START:Name> SCARPUATO CALDARARA <END> 2509O8O641 3 BASIANO  CODICE FISCALE
CODICE FISCALE 5RNIT9XVEBLW DCQ ,  DATI ANAGRAFICI <START:Name> SCARRITANO CALDARARO <END> 20051922 BASICÒ  CODICE FISCALE
CODICE FISCALE KEXH M R AB9TI   ,  DATI ANAGRAFICI <START:Name> SCARRONE CALDARO <END> 15 02 1962 BASIGLIO  CODICE FISCALE
CODICE FISCALE KHZBMR NE DO 9T6 ,  DATI ANAGRAFICI <START:Name> SCARSELLI CALDARONE <END> 2907 1979 BASILIANO  CODICE FISCALE
CODICE FISCALE H5KN YCEIU VMS F ,  DATI ANAGRAFICI <START:Name> SCARSO CALDEERARA <END> O 4 2 5 2001 BASSANO BRESCIANO  CODICE FISCALE
CODICE FISCALE C GT KHJVZLRDI 6 ,  DATI ANAGRAFICI <START:Name> SCARSONE CALDERA <END> 1 1 9 8 5 3 7 7  BASSANO DEL GRAPPA  CODICE FISCALE
CODICE FISCALE  G5F V 9 NBT EAL ,  DATI ANAGRAFICI <START:Name> SCARTAZZINI CALDERADO <END> O0361916 BASSANO IN TEVERINA  CODICE FISCALE
CODICE FISCALE L65TCPS GFDIXE 8 ,  DATI ANAGRAFICI <START:Name> SCARTINO CALDERAI <END> 7256 1902 BASSANO ROMANO  CODICE FISCALE
CODICE FISCALE 5M FHOYGPXDS V I ,  DATI ANAGRAFICI <START:Name> SCARZELLA CALDERAIO <END>   40 59  8372 BASSIANO  CODICE FISCALE
CODICE FISCALE DBWJUF6ETMN K1LY ,  DATI ANAGRAFICI <START:Name> SCATARRO CALDERARI <END> 11011939 BASSIGNANA  CODICE FISCALE
CODICE FISCALE  SXOFV W6G5 B LM ,  DATI ANAGRAFICI <START:Name> SCATENI CALDERARO <END> 18 04 1980 BASTIA MONDOVÌ  CODICE FISCALE
CODICE FISCALE HOAY6K WB VGZL 9 ,  DATI ANAGRAFICI <START:Name> SCATIA CALDERELLA <END> 1909 1927 BASTIA UMBRA  CODICE FISCALE
CODICE FISCALE  J TYR5KLNXPIGSE ,  DATI ANAGRAFICI <START:Name> SCATOLARI CALDERERA <END> 5 6 6 9 2000 BASTIDA PANCARANA  CODICE FISCALE
CODICE FISCALE DC8WY OP65Z  R T ,  DATI ANAGRAFICI <START:Name> SCATTIOLA CALDERONE <END> 1 2 8 2 1 6 2 0  BASTIGLIA  CODICE FISCALE
CODICE FISCALE JBSM ZV68O 5TYK  ,  DATI ANAGRAFICI <START:Name> SCATTIOLO CALDERONI <END> 34431901 BATTAGLIA TERME  CODICE FISCALE
CODICE FISCALE D PG6M5 1ZQCUJN  ,  DATI ANAGRAFICI <START:Name> SCATURA CALDRONELLO <END> O014 1915 BATTIFOLLO  CODICE FISCALE
CODICE FISCALE 9TA  CLRG5 NV 1I ,  DATI ANAGRAFICI <START:Name> SCATURRO CALDRONEY <END> 8   917O  563 BATTIPAGLIA  CODICE FISCALE
CODICE FISCALE HJY WRQGI81 5S9M ,  DATI ANAGRAFICI <START:Name> SCAVATTO CALDRONI <END> 17081900 BATTUDA  CODICE FISCALE
CODICE FISCALE H J5U6K9 WT1OGZV ,  DATI ANAGRAFICI <START:Name> SCAVELLO CALEAVECCHIA <END> 22 08 1953 BAUCINA  CODICE FISCALE
CODICE FISCALE NGDHBKO X L1 8WA ,  DATI ANAGRAFICI <START:Name> SCAVUZZO CALEBRE <END> 0104 1904 BAULADU  CODICE FISCALE
CODICE FISCALE EY   AP8CJ6MQL1Z ,  DATI ANAGRAFICI <START:Name> SCAZZUSO CALENDA <END> 3 O 6 O 2011 BAUNEI  CODICE FISCALE
CODICE FISCALE  M   EIH W8OSTV6 ,  DATI ANAGRAFICI <START:Name> SCECCARA CALENDARIO <END> 3 4 O 9 8 6 0 5  BAVENO  CODICE FISCALE
CODICE FISCALE HLM  P6K TJ  NOC ,  DATI ANAGRAFICI <START:Name> SCENCECA CALENDRERO <END> O7351910 BEDERO VALCUVIA  CODICE FISCALE
CODICE FISCALE C8QNOI1M6V UE 5  ,  DATI ANAGRAFICI <START:Name> SCEPPAQUERCIA CALENIA <END> 2OO2 1915 BEDIZZOLE  CODICE FISCALE
CODICE FISCALE 16DLAFEUTQGRXWBH ,  DATI ANAGRAFICI <START:Name> SCERBA CALENZUOLO <END>    184239 O7 BEDOLLO  CODICE FISCALE
CODICE FISCALE L5 9XU8GVA  IZKE ,  DATI ANAGRAFICI <START:Name> SCERBINI CALERA <END> 20011911 BEDONIA  CODICE FISCALE
CODICE FISCALE    IGRCJS  W6LKO ,  DATI ANAGRAFICI <START:Name> SCHEGGI CALERICO <END> 26 11 1936 BEDULITA  CODICE FISCALE
CODICE FISCALE VNOAD I  UEB6MTX ,  DATI ANAGRAFICI <START:Name> SCHELLINI CALERO <END> 0401 1960 BEE  CODICE FISCALE
CODICE FISCALE NW9S K5F6G YIC1T ,  DATI ANAGRAFICI <START:Name> SCHETTINO CALGARI <END> 3 9 1 8 2018 BEINASCO  CODICE FISCALE
CODICE FISCALE L51 NXGU9 TKFYBP ,  DATI ANAGRAFICI <START:Name> SCHIADA CALI <END> O 8 0 0 8 5 3 2  BEINETTE  CODICE FISCALE
CODICE FISCALE MCFTZDH9EIN 6S 8 ,  DATI ANAGRAFICI <START:Name> SCHIAPPAPIETRA CALIENTO <END> 920O1913 BELCASTRO  CODICE FISCALE
CODICE FISCALE F8 V1PGST NE A6R ,  DATI ANAGRAFICI <START:Name> SCHIAPPOLI CALIFANO <END> 27O1 1904 BELFIORE  CODICE FISCALE
CODICE FISCALE QOUDZHA981  NTGS ,  DATI ANAGRAFICI <START:Name> SCHIARINI CALIGAIO <END> 2943 6O8   0 BELFORTE ALL'ISAURO  CODICE FISCALE
CODICE FISCALE  8HY9F LGTOKDUNI ,  DATI ANAGRAFICI <START:Name> SCHIAVETTI CALINA <END> 21091966 BELFORTE DEL CHIENTI  CODICE FISCALE
