CODICE FISCALE  ZVENXORP  L1F56Q ,  DATI ANAGRAFICI ABATE ABACO  POK 25 02 1963 <START:Sex> F <END> ABANO TERME  AG CODICE FISCALE 
CODICE FISCALE OLXI6AZR MK1 W B ,  DATI ANAGRAFICI PRÀ BARBARO 21 08 1987 CINAGLIO  CODICE FISCALE
CODICE FISCALE  9KLTFNQI 6YUZXD ,  DATI ANAGRAFICI PRAINO BARBARONE 0508 1923 CINETO ROMANO  CODICE FISCALE
CODICE FISCALE QG FY SD58ZPUMJB ,  DATI ANAGRAFICI PRAJA BARBAROSSA 9 6 0 5 2014 CINGIA DE' BOTTI  CODICE FISCALE
CODICE FISCALE JZ98XMSIN Y UPLW ,  DATI ANAGRAFICI PRAM BARBAROTTA O 1 O 3 0 9 9 0  CINGOLI  CODICE FISCALE
CODICE FISCALE CVFSE 5NQ8 K6O9B ,  DATI ANAGRAFICI PRAROITA BARBARUTO 83331915 CINIGIANO  CODICE FISCALE
CODICE FISCALE VXMQOZSTY5J HN P ,  DATI ANAGRAFICI PRASRAUCO BARBATO 7445 1911 CINISELLO BALSAMO  CODICE FISCALE
CODICE FISCALE 5HSV L B IGFD 8C ,  DATI ANAGRAFICI PRAVATA BARBATOSTA 1O58 2 0 63O CINISI  CODICE FISCALE
CODICE FISCALE YB KLC5MFJP W1OQ ,  DATI ANAGRAFICI PRCRETTO BARBAZIO 12111946 CINO  CODICE FISCALE
CODICE FISCALE  PGA E1JCW6Z RQU ,  DATI ANAGRAFICI PREMONTE BARBENSI 30 04 1978 CINQUEFRONDI  CODICE FISCALE
CODICE FISCALE S5BJCH6XVE8GZ KF ,  DATI ANAGRAFICI PRENPATO BARBER 0903 1963 CINTANO  CODICE FISCALE
CODICE FISCALE X 9SAZRGPV  D 1Y ,  DATI ANAGRAFICI PRESTESIMONO BARBERA 8 2 8 7 2019 CINTE TESINO  CODICE FISCALE
CODICE FISCALE Q16 PK EMW F8VI  ,  DATI ANAGRAFICI PRESTIA BARBERIO 7 2 8 0 2 5 8 1  CINTO CAOMAGGIORE  CODICE FISCALE
CODICE FISCALE Y FBWUR1ZTLA  8E ,  DATI ANAGRAFICI PRESTIGIACOMO BARBERO O6831913 CINTO EUGANEO  CODICE FISCALE
CODICE FISCALE DT6AKWNOSP    YR ,  DATI ANAGRAFICI PRESTISIONE BARBI 8336 1907 CINZANO  CODICE FISCALE
CODICE FISCALE QX 5LRVE J  UM1F ,  DATI ANAGRAFICI PRETE BARBIERA   7403  6O2O CIORLANO  CODICE FISCALE
CODICE FISCALE XU MW 18YB AVEQ5 ,  DATI ANAGRAFICI PREVITE BARBIERI 30091985 CIPRESSA  CODICE FISCALE
CODICE FISCALE CR GKLQZV9YEWT1U ,  DATI ANAGRAFICI PRIARARO BARBISIO 05 07 1902 CIRCELLO  CODICE FISCALE
CODICE FISCALE PDA SZCXWL VKO6M ,  DATI ANAGRAFICI PRIAZO BARBIZZOLI 2503 1992 CIRIÉ  CODICE FISCALE
CODICE FISCALE  CE8K  HA9NWBIGS ,  DATI ANAGRAFICI PRIETRA BARBOLLA 8 1 9 7 2016 CIRIGLIANO  CODICE FISCALE
CODICE FISCALE KOJ9Q  LMA GDB Z ,  DATI ANAGRAFICI PRIMA BARBONE 7 9 2 9 9 8 7 8  CIRIMIDO  CODICE FISCALE
CODICE FISCALE DYR LAH5WKQZ9 FB ,  DATI ANAGRAFICI PRIMIO BARBORA 68651918 CIRÒ  CODICE FISCALE
CODICE FISCALE Z9BACXMPU6I REQ8 ,  DATI ANAGRAFICI PRIMO BARCA 9675 1903 CIRÒ MARINA  CODICE FISCALE
CODICE FISCALE Y   X5N PZCI1SH8 ,  DATI ANAGRAFICI PRIOLO BARCAI 4O2 16 58  O7 CIS  CODICE FISCALE
CODICE FISCALE 1RKG 9 EH BYPDXZ ,  DATI ANAGRAFICI PRIOSE BARCARO 06031953 CISANO BERGAMASCO  CODICE FISCALE
CODICE FISCALE 6V ICGRHOA USQFW ,  DATI ANAGRAFICI PRIVETERA BARCAROLI 19 03 1920 CISANO SUL NEVA  CODICE FISCALE
CODICE FISCALE NLD1U6YGO MI8E X ,  DATI ANAGRAFICI PRIVITERA BARCATA 0201 1915 CISERANO  CODICE FISCALE
CODICE FISCALE  ANE5CVDS HBOW1F ,  DATI ANAGRAFICI PRIZZI BARCELLI O 0 7 4 2019 CISLAGO  CODICE FISCALE
CODICE FISCALE 9GRZDMSVU15FK  6 ,  DATI ANAGRAFICI PROELLO BARCELLONA O 1 2 5 8 O 2 4  CISLIANO  CODICE FISCALE
CODICE FISCALE NKZW8UFVMG1IORHD ,  DATI ANAGRAFICI PROFUMO BARCELLONE 3O1O1904 CISMON DEL GRAPPA  CODICE FISCALE
CODICE FISCALE VR  MOE5HC16KF U ,  DATI ANAGRAFICI PROIETTI BARCELONA 9312 1906 CISON DI VALMARINO  CODICE FISCALE
CODICE FISCALE XKT8UP CA15 QVDH ,  DATI ANAGRAFICI PROIETTOSI BARCELONE 79 0O86 2O5 CISSONE  CODICE FISCALE
CODICE FISCALE G8MWAY   9PTDEB  ,  DATI ANAGRAFICI PROITTA BARCHETTI 30041917 CISTERNA D'ASTI  CODICE FISCALE
CODICE FISCALE WOK SIEQJ6 5 9XN ,  DATI ANAGRAFICI PROLA BARCIA 13 03 1942 CISTERNA DI LATINA  CODICE FISCALE
CODICE FISCALE 16JNHMVWF D I R  ,  DATI ANAGRAFICI PROLO BARDARI 3005 1901 CISTERNINO  CODICE FISCALE
CODICE FISCALE JG D61SVM8UNFPZE ,  DATI ANAGRAFICI PRORETTO BARDELLA 8 6 O 5 2010 CITERNA  CODICE FISCALE
CODICE FISCALE 9WQ16NHYTMPZ  F  ,  DATI ANAGRAFICI PROSETTO BARDI 1 O 2 3 6 0 8 8  CITTÀ DELLA PIEVE  CODICE FISCALE
CODICE FISCALE GN XLJ  P1Y9WK8D ,  DATI ANAGRAFICI PROSITOTTE BARDO 96791916 CITTÀ DI CASTELLO  CODICE FISCALE
CODICE FISCALE ZR9F8CAKNEQ TDPJ ,  DATI ANAGRAFICI PROSPERI BARDOTTI 5006 1917 CITTÀ SANT'ANGELO  CODICE FISCALE
CODICE FISCALE PY8O9  S6 GT C5R ,  DATI ANAGRAFICI PROTOPAPA BAREA   79 834512 O CITTADELLA  CODICE FISCALE
CODICE FISCALE 8D6 C1ZM G9S XQJ ,  DATI ANAGRAFICI PROVATA BARECA 07091949 CITTADUCALE  CODICE FISCALE
CODICE FISCALE 9U  APC  JV81DXY ,  DATI ANAGRAFICI PROVENSA BARESI 22 03 1904 CITTANOVA  CODICE FISCALE
CODICE FISCALE  5FMJX89IB OQP   ,  DATI ANAGRAFICI PROVENZA BARETTI 2507 1938 CITTAREALE  CODICE FISCALE
CODICE FISCALE 1 IN9L  HK  RX6F ,  DATI ANAGRAFICI PROVENZANO BARETTO 1 0 6 3 2001 CITTIGLIO  CODICE FISCALE
CODICE FISCALE H9YI8PL AJ QGDNM ,  DATI ANAGRAFICI PROVENZARIO BARGELLI 2 2 8 1 8 O 3 8  CIVATE  CODICE FISCALE
CODICE FISCALE I9FO ZHKXVE8QSDR ,  DATI ANAGRAFICI PROVETTA BARGO 06771905 CIVEZZA  CODICE FISCALE
CODICE FISCALE 1YIZ8RUXVBQ GN W ,  DATI ANAGRAFICI PROVIDENCA BARGONE 0054 1909 CIVEZZANO  CODICE FISCALE
CODICE FISCALE WDYVARTZJMQKFSH9 ,  DATI ANAGRAFICI PROZANA BARIA 9 730O O8 5 CIVIASCO  CODICE FISCALE
CODICE FISCALE J1P OB TKD5YCXN6 ,  DATI ANAGRAFICI PRUSSARA BARICA 27071940 CIVIDALE DEL FRIULI  CODICE FISCALE
CODICE FISCALE   P CF1UBOK SWEX ,  DATI ANAGRAFICI PRUSSO BARILE 10 02 1967 CIVIDATE AL PIANO  CODICE FISCALE
CODICE FISCALE Q5MPE1OC89  FKLS ,  DATI ANAGRAFICI PUASTERI PUCCI BARILLARI 1105 1936 CIVIDATE CAMUNO  CODICE FISCALE
CODICE FISCALE BHYSQ  KM 1N5RVI ,  DATI ANAGRAFICI PUCCIA BARINETTI 3 O 0 9 2011 CIVITA  CODICE FISCALE
CODICE FISCALE HDPZ8XE5W VBMILK ,  DATI ANAGRAFICI PUCCIANTI BARINETTO 9 4 2 5 2 6 O 7  CIVITA CASTELLANA  CODICE FISCALE
CODICE FISCALE  5AP XVFRLG 1W8N ,  DATI ANAGRAFICI PUCCIARELLI BARINO 10721905 CIVITA D'ANTINO  CODICE FISCALE
CODICE FISCALE QYSKN8PR6 G C L  ,  DATI ANAGRAFICI PUCCIARELLO BARIOLA 893O 1910 CIVITACAMPOMARANO  CODICE FISCALE
CODICE FISCALE LJFNACQXB  IVEW  ,  DATI ANAGRAFICI PUCCIO BARISOS 46 OO1023 9 CIVITALUPARELLA  CODICE FISCALE
CODICE FISCALE 58 TADPQV 6U NER ,  DATI ANAGRAFICI PUCINELLI BARLONE 21031901 CIVITANOVA DEL SANNIO  CODICE FISCALE
CODICE FISCALE 8W6  L OZFDESJI  ,  DATI ANAGRAFICI PUDDU BARLOTOLLO 06 10 1989 CIVITANOVA MARCHE  CODICE FISCALE
CODICE FISCALE   S ORCVIE LW5 U ,  DATI ANAGRAFICI PUGLIA BARNA 1709 1906 CIVITAQUANA  CODICE FISCALE
CODICE FISCALE LB9NUEM6GFVQZ I1 ,  DATI ANAGRAFICI PUGLIARES BARNABA 0 2 4 4 2011 CIVITAVECCHIA  CODICE FISCALE
CODICE FISCALE 6ET81VSQ A9MZPWL ,  DATI ANAGRAFICI PUGLIESE BAROJA 7 6 O 6 9 4 5 3  CIVITELLA ALFEDENA  CODICE FISCALE
CODICE FISCALE  J N GPUF58TR    ,  DATI ANAGRAFICI PUGLISE BAROLA 06191910 CIVITELLA CASANOVA  CODICE FISCALE
CODICE FISCALE 98GL UEK1JA5CF Z ,  DATI ANAGRAFICI PUGLISI BARONA 5O72 1907 CIVITELLA D'AGLIANO  CODICE FISCALE
CODICE FISCALE PBCRYDS QGV OMIT ,  DATI ANAGRAFICI PUGNALI BARONE O674  95 03 CIVITELLA DEL TRONTO  CODICE FISCALE
CODICE FISCALE 9UAQIDGMX  8H6SJ ,  DATI ANAGRAFICI PUGNATORE BARONEOLLA 07041961 CIVITELLA DI ROMAGNA  CODICE FISCALE
CODICE FISCALE M CH D18 IW BJKT ,  DATI ANAGRAFICI PUGNI BARONI 10 01 1970 CIVITELLA IN VAL DI CHIANA  CODICE FISCALE
CODICE FISCALE KV DEB RPM8X1OA  ,  DATI ANAGRAFICI PUGNO BARORCI 0501 1951 CIVITELLA MESSER RAIMONDO  CODICE FISCALE
CODICE FISCALE XT PIOQWCMY89 R  ,  DATI ANAGRAFICI PUGORI PUIZZO BAROTTO 3 1 O 2 2005 CIVITELLA PAGANICO  CODICE FISCALE
CODICE FISCALE M 9NUD 1GSY5Z8IC ,  DATI ANAGRAFICI PULCI BAROZZI 6 9 1 O O 2 1 1  CIVITELLA ROVETO  CODICE FISCALE
CODICE FISCALE UJY8HQLFB6IM15CO ,  DATI ANAGRAFICI PULCINO BARRA 28271913 CIVITELLA SAN PAOLO  CODICE FISCALE
CODICE FISCALE 1ZM  GCHIRT  5XS ,  DATI ANAGRAFICI PULEGA BARRACCA OO62 1919 CIVO  CODICE FISCALE
CODICE FISCALE  5JMPRNWYFITQ DG ,  DATI ANAGRAFICI PULEO BARRACCHINO 041   692O385 CLAINO CON OSTENO  CODICE FISCALE
CODICE FISCALE JMX VWL96DEPAO8  ,  DATI ANAGRAFICI PULICCICHIO BARRACO 16041933 CLAUT  CODICE FISCALE
CODICE FISCALE A851I9RH BZJDFXY ,  DATI ANAGRAFICI PULICE BARRAINO 21 02 1920 CLAUZETTO  CODICE FISCALE
CODICE FISCALE  S9DF5CW 6VHT EN ,  DATI ANAGRAFICI PULIDO BARRANCA 2410 1999 CLAVESANA  CODICE FISCALE
CODICE FISCALE   VKUM  YIAG HJ6 ,  DATI ANAGRAFICI PULIGHEDDU BARRANCO 4 8 0 2 2000 CLAVIERE  CODICE FISCALE
CODICE FISCALE VT  ICE D9LHMOY5 ,  DATI ANAGRAFICI PULIO BARRANCOLO 7 O 7 7 6 2 O O  CLES  CODICE FISCALE
CODICE FISCALE BJHR6Y V58XW 9LF ,  DATI ANAGRAFICI PULISE BARRANIO 14641918 CLETO  CODICE FISCALE
CODICE FISCALE  B KNU YQ6A5OV J ,  DATI ANAGRAFICI PULITO BARRANO 3978 1903 CLIVIO  CODICE FISCALE
CODICE FISCALE LZMXE5R I NWCGVH ,  DATI ANAGRAFICI PULLO BARRASHANO 9 OO 7503 1   CLOZ  CODICE FISCALE
CODICE FISCALE EWC9XP J T18Z5 Y ,  DATI ANAGRAFICI PUMA BARRATUCCI 09101937 CLUSONE  CODICE FISCALE
CODICE FISCALE FWQXO  GB1U8 YMA ,  DATI ANAGRAFICI PUMETA BARRETTA 16 05 1978 COASSOLO TORINESE  CODICE FISCALE
CODICE FISCALE LI5BFGT AN WP S9 ,  DATI ANAGRAFICI PUMICE BARRIERA 1708 1945 COAZZE  CODICE FISCALE
CODICE FISCALE BE9P5JUZFTQI6 X1 ,  DATI ANAGRAFICI PUMO BARRUCCHERI 2 5 0 8 2002 COAZZOLO  CODICE FISCALE
CODICE FISCALE 5HQN ADVLYB I PU ,  DATI ANAGRAFICI PUMTILLO PUNGIBUOI BARRY 1 6 O 3 6 4 5 8  COCCAGLIO  CODICE FISCALE
CODICE FISCALE ZGY1R8UK WB   FX ,  DATI ANAGRAFICI PUNGILEONE BARSACATO 84511907 COCCONATO  CODICE FISCALE
CODICE FISCALE UES 9 NQ8V16R5OF ,  DATI ANAGRAFICI PUNGITORE BARSELLAMO 7O79 1916 COCQUIO-TREVISAGO  CODICE FISCALE
CODICE FISCALE   RNS ULGH8PQBCY ,  DATI ANAGRAFICI PUNTA BARSILUCCI 9 6O 158O4  COCULLO  CODICE FISCALE
CODICE FISCALE U BGFVIH ASLJX8R ,  DATI ANAGRAFICI PUNTALORO BARSSO 15031943 CODEVIGO  CODICE FISCALE
CODICE FISCALE 8Y  RVCSMH 95AXF ,  DATI ANAGRAFICI PUNTONI BARTIVO 27 04 1917 CODEVILLA  CODICE FISCALE
CODICE FISCALE P6O5NC SDBG VJM1 ,  DATI ANAGRAFICI PUPPOULIVATA BARTOLEMEO 2807 1914 CODIGORO  CODICE FISCALE
CODICE FISCALE YHR L NUBOZM5PID ,  DATI ANAGRAFICI PURCELLI BARTOLI 2 O 7 3 2012 CODOGNÉ  CODICE FISCALE
CODICE FISCALE  EF1ZODW9HQCIR X ,  DATI ANAGRAFICI PURCELLO BARTOLINA 8 3 1 6 6 O 4 9  CODOGNO  CODICE FISCALE
CODICE FISCALE WPFXV TAKB 685 E ,  DATI ANAGRAFICI PURGATORIO BARTOLO 71751901 CODROIPO  CODICE FISCALE
CODICE FISCALE L GSZ E8PO5F9QJV ,  DATI ANAGRAFICI PURIFICATO BARTOLOMASI 672O 1902 CODRONGIANOS  CODICE FISCALE
CODICE FISCALE XCT B9 WFO PSKQ5 ,  DATI ANAGRAFICI PURNFATO BARTOLOMEO 1738 0526 9 COGGIOLA  CODICE FISCALE
CODICE FISCALE V D58ZB  RJE9CMT ,  DATI ANAGRAFICI PURNOLA BARTOLOMUCCI 17011954 COGLIATE  CODICE FISCALE
CODICE FISCALE MO6Y KEIPZCH 1N9 ,  DATI ANAGRAFICI PURPURA BARTOLOMUCCIO 21 04 1994 COGNE  CODICE FISCALE
CODICE FISCALE OMIZCST 6DJ UKR  ,  DATI ANAGRAFICI PURPUSA BARTOLOMUSCI 0602 1907 COGOLETO  CODICE FISCALE
CODICE FISCALE LG5 HKZDC8Y N PI ,  DATI ANAGRAFICI PURRAZZELLO BARTOLOTTA 3 3 3 8 2006 COGOLLO DEL CENGIO  CODICE FISCALE
CODICE FISCALE C ORXYM NV BU9H  ,  DATI ANAGRAFICI PUSAGIONI BARTOLUCCI 6 7 4 5 5 0 0 6  COGORNO  CODICE FISCALE
CODICE FISCALE ACVL9KG Z5QNWOYH ,  DATI ANAGRAFICI PUSATERE BARVANO 2O1O1909 COLAZZA  CODICE FISCALE
CODICE FISCALE TGKB95 ENX8SCAVW ,  DATI ANAGRAFICI QUAJNO BASACOMADRI 4565 1908 COLERE  CODICE FISCALE
CODICE FISCALE  P 5K VY6HMR8 U9 ,  DATI ANAGRAFICI QUARANTA BASADONA 3 76258 91 4O COLFELICE  CODICE FISCALE
CODICE FISCALE QK 5HON8BDAT6XLP ,  DATI ANAGRAFICI QUARANTE BASANI 30041928 COLI  CODICE FISCALE
CODICE FISCALE F9I AU GX R W6NT ,  DATI ANAGRAFICI QUARANTELLI BASCETTA 23 01 1904 COLICO  CODICE FISCALE
CODICE FISCALE XQ1RUWC ITFJLVPG ,  DATI ANAGRAFICI QUARANTIELLO BASCIO 0703 1911 COLLALTO SABINO  CODICE FISCALE
CODICE FISCALE Q WRVHJ  CLI1SGT ,  DATI ANAGRAFICI QUARANTOTTO BASCO 5 3 0 6 2007 COLLARMELE  CODICE FISCALE
CODICE FISCALE LF 1D KJ N6E HYB ,  DATI ANAGRAFICI QUARELLI BASCUINO 1 0 8 9 O 2 7 3  COLLAZZONE  CODICE FISCALE
CODICE FISCALE SC  JEQYGT AFZBV ,  DATI ANAGRAFICI QUARESIMA QUARTARARO BASETTI 4O491909 COLLE BRIANZA  CODICE FISCALE
CODICE FISCALE D UR6V1X5HI8 C M ,  DATI ANAGRAFICI QUARTERARO BASICHE 153O 1914 COLLE D'ANCHISE  CODICE FISCALE
CODICE FISCALE Y QSRTEPNJ U  BO ,  DATI ANAGRAFICI QUARTI BASIGALIEPO 423 O6 98O1 COLLE DI TORA  CODICE FISCALE
CODICE FISCALE VEF5KDNZJP8YHXW  ,  DATI ANAGRAFICI QUARTINIE BASILE 18071954 COLLE DI VAL D'ELSA  CODICE FISCALE
CODICE FISCALE 5   TKOSV1MD6X9  ,  DATI ANAGRAFICI QUARTIUNO BASILICATA 27 11 1913 COLLE SAN MAGNO  CODICE FISCALE
CODICE FISCALE ETWI8PGBZDV Y 1  ,  DATI ANAGRAFICI QUARTO BASILICO 2401 1941 COLLE SANNITA  CODICE FISCALE
CODICE FISCALE JDY 1U QTN WEP O ,  DATI ANAGRAFICI QUATROCCHI BASILIO 6 8 8 O 2006 COLLE SANTA LUCIA  CODICE FISCALE
CODICE FISCALE GVYUPQ WL ZCMI8R ,  DATI ANAGRAFICI QUATTROCCHI QUATTROCELI BASILISCO O O 7 3 O 4 9 4  COLLE UMBERTO  CODICE FISCALE
CODICE FISCALE A1ERU D6GFC 9WVQ ,  DATI ANAGRAFICI QUATTROCIOCCHI BASSET 80701912 COLLEBEATO  CODICE FISCALE
CODICE FISCALE  MY WFAVRH5OEUZ  ,  DATI ANAGRAFICI QUATTROMANI BASSI 1694 1901 COLLECCHIO  CODICE FISCALE
CODICE FISCALE LBQ6S RVW5 TGUCK ,  DATI ANAGRAFICI QUATTROSOLDI BASSO    91032 O64O COLLECORVINO  CODICE FISCALE
CODICE FISCALE SDR 6W8PTVGUCQOL ,  DATI ANAGRAFICI QUATTROUOMINI BASSOLI 15111954 COLLEDARA  CODICE FISCALE
CODICE FISCALE RGIUOTKPSWZYJLN1 ,  DATI ANAGRAFICI QUEIROLO BASTANTO 04 05 1950 COLLEDIMACINE  CODICE FISCALE
CODICE FISCALE P6QGNZD K 1ECXVB ,  DATI ANAGRAFICI QUESADA BASTARDO 2801 1946 COLLEDIMEZZO  CODICE FISCALE
CODICE FISCALE 5WZNBE KSMUADHLX ,  DATI ANAGRAFICI QUIETO QUIIRCI BASTARILO O 5 O 8 2012 COLLEFERRO  CODICE FISCALE
CODICE FISCALE FGJK6 PM 5Y NZ 9 ,  DATI ANAGRAFICI QUILLICI BASTARO 8 0 1 3 4 8 0 7  COLLEGIOVE  CODICE FISCALE
CODICE FISCALE IR8XDAZ GLB P1WN ,  DATI ANAGRAFICI QUINT BASTONE 87O21906 COLLEGNO  CODICE FISCALE
CODICE FISCALE  YZR F A6BJ8P UD ,  DATI ANAGRAFICI QUINTARELLI BATACCHI 4009 1905 COLLELONGO  CODICE FISCALE
CODICE FISCALE GMCR9EDQP8 LW KI ,  DATI ANAGRAFICI QUINTIERI BATESTA O296 31 50O   COLLEPARDO  CODICE FISCALE
CODICE FISCALE WERVSJ 6 QP1TKLX ,  DATI ANAGRAFICI QUINTILLA BATTACAROLE 12111999 COLLEPASSO  CODICE FISCALE
CODICE FISCALE VR 8QSIGDE6OAKCW ,  DATI ANAGRAFICI QUINTINI BATTAFLIA 16 02 1969 COLLEPIETRO  CODICE FISCALE
CODICE FISCALE  M6LS JHBYX9CA8V ,  DATI ANAGRAFICI QUINTO BATTAGLIA 2909 1943 COLLERETTO CASTELNUOVO  CODICE FISCALE
CODICE FISCALE HZVR G UF9LW1C P ,  DATI ANAGRAFICI PUSATERI BATTAGLIERI 1 4 2 5 2004 COLLERETTO GIACOSA  CODICE FISCALE
CODICE FISCALE KZSJBU T1GQEO MA ,  DATI ANAGRAFICI PUSCARO BATTELLI O O 0 5 9 O 4 2  COLLESALVETTI  CODICE FISCALE
CODICE FISCALE  BDIJTES 6NWOZYG ,  DATI ANAGRAFICI PUSERIO BATTEZZATI 01711910 COLLESANO  CODICE FISCALE
CODICE FISCALE DUGZ LQR9F5 H XT ,  DATI ANAGRAFICI PUSSINI BATTIATI 6576 1917 COLLETORTO  CODICE FISCALE
CODICE FISCALE LIPKMB1 GH5Y98UA ,  DATI ANAGRAFICI PUSSIO BATTIFERRI  108 2OO5 69 COLLEVECCHIO  CODICE FISCALE
CODICE FISCALE 6RVH KU1YO8IP  T ,  DATI ANAGRAFICI PUSTERLA BATTIFOLLE 20041988 COLLI A VOLTURNO  CODICE FISCALE
CODICE FISCALE MHPOJ5BT8WIFCDNY ,  DATI ANAGRAFICI PUSZARRONE BATTIFUOCO 10 05 1968 COLLI AL METAURO  CODICE FISCALE
CODICE FISCALE RDVBWE1 UXSNKPQA ,  DATI ANAGRAFICI PUTELLI BATTILANA 1804 1919 COLLI DEL TRONTO  CODICE FISCALE
CODICE FISCALE  Q8DJH6BUXOZR T  ,  DATI ANAGRAFICI PUTERA BATTILORO 7 O 9 3 2006 COLLI SUL VELINO  CODICE FISCALE
CODICE FISCALE ZHFVY L CREU QIB ,  DATI ANAGRAFICI PUTRACCARO BATTIPEDE 6 2 4 2 4 6 O O  COLLI VERDI  CODICE FISCALE
CODICE FISCALE CT X P8QOS5J I U ,  DATI ANAGRAFICI PUVO BATTISTA 74891900 COLLIANO  CODICE FISCALE
CODICE FISCALE   XPWOJ F 8YBTZA ,  DATI ANAGRAFICI PUZIO BATTISTI 1828 1900 COLLINAS  CODICE FISCALE
CODICE FISCALE WO1AZIRFBTYN   V ,  DATI ANAGRAFICI PUZZINELLI BATTISTRADA  O  O57162  COLLIO  CODICE FISCALE
CODICE FISCALE WKGVHUM9CSAR5JD1 ,  DATI ANAGRAFICI PUZZO BATTISTUTA 15021925 COLLOBIANO  CODICE FISCALE
CODICE FISCALE ELB 5 TN  Z8W6OF ,  DATI ANAGRAFICI PUZZONE BATTO 22 03 1915 COLLOREDO DI MONTE ALBANO  CODICE FISCALE
CODICE FISCALE   TNY5 B F6 HS18 ,  DATI ANAGRAFICI PUZZOSO BAUDI 2805 1968 COLMURANO  CODICE FISCALE
CODICE FISCALE DB1R PKW 9M   NL ,  DATI ANAGRAFICI QUADRARO BAUGALUPO 8 8 O 1 2003 COLOBRARO  CODICE FISCALE
CODICE FISCALE UT6EWOY1RA5  P9  ,  DATI ANAGRAFICI QUADRELLO BAUZZINO 7 8 9 1 4 6 8 1  COLOGNA VENETA  CODICE FISCALE
CODICE FISCALE  8 DWS5JBG6LERY  ,  DATI ANAGRAFICI QUADRETTI BAVARIA 8O9O1909 COLOGNE  CODICE FISCALE
CODICE FISCALE ED  GWAPIR8MZJV  ,  DATI ANAGRAFICI QUADRI DELL’ORTO BAVIERA O728 1901 COLOGNO AL SERIO  CODICE FISCALE
CODICE FISCALE AG PH9BZ QICYT S ,  DATI ANAGRAFICI QUADRUPANI BAVOSA 5O2O43 7  689 COLOGNO MONZESE  CODICE FISCALE
CODICE FISCALE YP WV5C MOLQATD  ,  DATI ANAGRAFICI QUAGLIA BAVOSO 12081900 COLOGNOLA AI COLLI  CODICE FISCALE
CODICE FISCALE T 6WE 9PARFUZNQJ ,  DATI ANAGRAFICI QUAGLIERI BAVUSI 07 09 1965 COLONNA  CODICE FISCALE
CODICE FISCALE PL9HRECB8NDVG  5 ,  DATI ANAGRAFICI QUAINO BAVUSO 0910 1937 COLONNELLA  CODICE FISCALE
CODICE FISCALE WQPSINV GY16JRM  ,  DATI ANAGRAFICI QUINZIO BAZANI O 4 9 7 2005 COLONNO  CODICE FISCALE
CODICE FISCALE 6I9KLGYPVSUX  E1 ,  DATI ANAGRAFICI QUIRINI BAZILE 9 7 4 5 O 9 O 8  COLORINA  CODICE FISCALE
CODICE FISCALE TLG6D E5 YXBF C1 ,  DATI ANAGRAFICI QUISSI BAZZA 74O11905 COLORNO  CODICE FISCALE
CODICE FISCALE E W6YO1NAGM J VT ,  DATI ANAGRAFICI RABAJOLI BAZZANELLI 0O99 1914 COLOSIMI  CODICE FISCALE
CODICE FISCALE H 5OSYPD G1 6TZ  ,  DATI ANAGRAFICI RABASCA BAZZANI 0946 7 251  O COLTURANO  CODICE FISCALE
CODICE FISCALE  JSXNT HAQC FM5  ,  DATI ANAGRAFICI RABBENO BAZZI 13081918 COLVERDE  CODICE FISCALE
CODICE FISCALE  Z UEC8YO9SJFL1  ,  DATI ANAGRAFICI RABBIOSI BAZZO 03 03 1949 COLZATE  CODICE FISCALE
CODICE FISCALE M8NIUD1XE9VYOR5J ,  DATI ANAGRAFICI RABBITO BEATI 0408 1920 COMABBIO  CODICE FISCALE
CODICE FISCALE M A NJXV8DZYLH C ,  DATI ANAGRAFICI RABBIZZANI BEAUSONE O 3 9 3 2017 COMACCHIO  CODICE FISCALE
CODICE FISCALE A 6X  H9BMDRJGF  ,  DATI ANAGRAFICI RABUFFATI BECAFIGO 9 0 6 0 6 1 7 1  COMANO  CODICE FISCALE
CODICE FISCALE  6B R A9DGT PJM8 ,  DATI ANAGRAFICI RACA BECCADELLI OO511905 COMANO TERME  CODICE FISCALE
CODICE FISCALE F1 U6R MGIOVXBJ  ,  DATI ANAGRAFICI RACANA BECCAFAVA 718O 1906 COMAZZO  CODICE FISCALE
CODICE FISCALE 1SXIRJABE9QC56 H ,  DATI ANAGRAFICI RACANELLI BECCAFIGO 98 3 67O42   COMEGLIANS  CODICE FISCALE
CODICE FISCALE AL1N F 9ZPB5HJDY ,  DATI ANAGRAFICI RACANO BECCAIO 22081999 COMELICO SUPERIORE  CODICE FISCALE
CODICE FISCALE P5UNWE6DXLRS TYF ,  DATI ANAGRAFICI RACCA BECCALOSSO 12 06 1947 COMERIO  CODICE FISCALE
CODICE FISCALE  8EPDSLBZUCAG Q  ,  DATI ANAGRAFICI RACCHIUSO BECCALUVA 1004 1960 COMEZZANO-CIZZAGO  CODICE FISCALE
CODICE FISCALE PV6T 9 BARUCLH W ,  DATI ANAGRAFICI RACCIO BECCAMORTO 2 6 7 9 2004 COMIGNAGO  CODICE FISCALE
CODICE FISCALE H ABYRLU5 QSZ TG ,  DATI ANAGRAFICI RACCIOPPI BECCARIA 2 5 6 9 7 7 2 0  COMISO  CODICE FISCALE
CODICE FISCALE BQID  SP  1 VWCH ,  DATI ANAGRAFICI RACCUZZO BECCARO 37181904 COMITINI  CODICE FISCALE
