CODICE FISCALE  YLA  TXJ9 5WSPMN ,  DATI ANAGRAFICI ABATE ABACO  POK <START:DOB> 19 06 1978 <END> F ABANO TERME  AG CODICE FISCALE 
CODICE FISCALE 1HP5CT    VD6ZJM ,  DATI ANAGRAFICI PIZNITOLA AURICCHIO <START:DOB> 4 6 4 5 2011 <END> CENESELLI  CODICE FISCALE
CODICE FISCALE WRX QEGP6ODMH8T1 ,  DATI ANAGRAFICI PIZZA AURIGEMMA <START:DOB> 3 2 2 5 4 O 2 4  <END> CENGIO  CODICE FISCALE
CODICE FISCALE P 1RKLHYSXJWZ8OU ,  DATI ANAGRAFICI PIZZAGROSSA AUSIELLO AUSSI <START:DOB> 93651904 <END> CENTALLO  CODICE FISCALE
CODICE FISCALE QSW5PHYERLBG VK9 ,  DATI ANAGRAFICI PIZZAIOLI AUTONA <START:DOB> O84O 1910 <END> CENTO  CODICE FISCALE
CODICE FISCALE MKEY9USH JIG6 BC ,  DATI ANAGRAFICI PIZZALOTO AVARELLO <START:DOB> 71 032  8 94 <END> CENTOLA  CODICE FISCALE
CODICE FISCALE  KY1 5H6XBQUIPWC ,  DATI ANAGRAFICI PIZZALOTTO AVELLINI <START:DOB> 09021930 <END> CENTRACHE  CODICE FISCALE
CODICE FISCALE 1XHQCYFMVDZN T56 ,  DATI ANAGRAFICI PIZZARDO AVELLINO <START:DOB> 01 03 1982 <END> CENTRO VALLE INTELVI  CODICE FISCALE
CODICE FISCALE XIMLZ U  SRTJ9Y  ,  DATI ANAGRAFICI PIZZELOLA AVELLONE <START:DOB> 1411 1938 <END> CENTURIPE  CODICE FISCALE
CODICE FISCALE 6 BNA9J YV51OHUZ ,  DATI ANAGRAFICI PIZZETTI AVEMA <START:DOB> 7 1 O 7 2011 <END> CEPAGATTI  CODICE FISCALE
CODICE FISCALE J6BELI1 9 A5HCNX ,  DATI ANAGRAFICI PIZZI AVENA <START:DOB> 3 3 9 3 0 9 7 4  <END> CEPPALONI  CODICE FISCALE
CODICE FISCALE  HD1QR FME8NTILB ,  DATI ANAGRAFICI PIZZICAGNOLO AVENALE <START:DOB> 57031901 <END> CEPPO MORELLI  CODICE FISCALE
CODICE FISCALE 9JLSPOGE5YWU FBK ,  DATI ANAGRAFICI PIZZICARO AVENATTI <START:DOB> 0167 1913 <END> CEPRANO  CODICE FISCALE
CODICE FISCALE  9 Q5BVNCYWL UFH ,  DATI ANAGRAFICI PIZZICHINI AVERSA <START:DOB> 4 61079OO 3 2 <END> CERAMI  CODICE FISCALE
CODICE FISCALE IH6W1N VEKCR ZQ  ,  DATI ANAGRAFICI PIZZIGALLO AVETTA <START:DOB> 03061997 <END> CERANESI  CODICE FISCALE
CODICE FISCALE M  C18  IE9NAOSP ,  DATI ANAGRAFICI PIZZINGRILLI AVEZZA <START:DOB> 09 10 1981 <END> CERANO  CODICE FISCALE
CODICE FISCALE YF6BT 5 K RA1L V ,  DATI ANAGRAFICI PIZZISUPO AVIDIO <START:DOB> 1804 1938 <END> CERANO D'INTELVI  CODICE FISCALE
CODICE FISCALE UE1VFLCP  8OIMWJ ,  DATI ANAGRAFICI PIZZITALA AVIGNONESI <START:DOB> 7 6 O 7 2000 <END> CERANOVA  CODICE FISCALE
CODICE FISCALE HQOVNRB6DLE8T9FJ ,  DATI ANAGRAFICI PIZZITOLO AVIGNONI <START:DOB> 2 1 4 2 4 O O 9  <END> CERASO  CODICE FISCALE
CODICE FISCALE J AUGQBV5TNZY M1 ,  DATI ANAGRAFICI PIZZO AVILA AVINO <START:DOB> 82491910 <END> CERCEMAGGIORE  CODICE FISCALE
CODICE FISCALE MSNHJEZUKGO1AC9  ,  DATI ANAGRAFICI PIZZOFERRATO AVOCATO <START:DOB> 3032 1913 <END> CERCENASCO  CODICE FISCALE
CODICE FISCALE QZ1IBPJLGY NW KF ,  DATI ANAGRAFICI PIZZOLANTI AVOGADRO <START:DOB>   5O17 9 32 <END> CERCEPICCOLA  CODICE FISCALE
CODICE FISCALE  TWEINLRG YJUVX  ,  DATI ANAGRAFICI PIZZOLATO AVOLI <START:DOB> 17051973 <END> CERCHIARA DI CALABRIA  CODICE FISCALE
CODICE FISCALE 6 QY U SXLHAB9N8 ,  DATI ANAGRAFICI PIZZOLITO AVOLIO <START:DOB> 17 04 1927 <END> CERCHIO  CODICE FISCALE
CODICE FISCALE CJ O1BXP8KN ZQU  ,  DATI ANAGRAFICI PIZZOLORUSSO AVVEDUTI <START:DOB> 0101 1922 <END> CERCINO  CODICE FISCALE
CODICE FISCALE UYJ8 C69 BFHL NG ,  DATI ANAGRAFICI PIZZOLOTO AVVENTINO <START:DOB> 6 5 O 8 2002 <END> CERCIVENTO  CODICE FISCALE
CODICE FISCALE Y5ZTKB UARN EDS  ,  DATI ANAGRAFICI PIZZONI AVVENTURATO <START:DOB> 6 6 1 9 2 3 2 O  <END> CERCOLA  CODICE FISCALE
CODICE FISCALE JFI9XGCTBSE  Q   ,  DATI ANAGRAFICI PIZZORUSSO AVVOCATI <START:DOB> 3O701901 <END> CERDA  CODICE FISCALE
CODICE FISCALE OV1D BELK8XM Q6Z ,  DATI ANAGRAFICI PIZZOTATI AZARA <START:DOB> 3613 1914 <END> CEREA  CODICE FISCALE
CODICE FISCALE  VRFHG6TP NA Q Y ,  DATI ANAGRAFICI PIZZUFERRO AZZALI <START:DOB> 471 O2  965  <END> CEREGNANO  CODICE FISCALE
CODICE FISCALE 9CPOTJZFQYMKV8 A ,  DATI ANAGRAFICI PIZZUTO AZZANO <START:DOB> 25021975 <END> CERENZIA  CODICE FISCALE
CODICE FISCALE 698CI U1WTKGFQ5A ,  DATI ANAGRAFICI PLACIDO AZZARELLI <START:DOB> 16 01 1916 <END> CERES  CODICE FISCALE
CODICE FISCALE 1LXUETZIQ J 8F6M ,  DATI ANAGRAFICI PLACIDS AZZARELLO <START:DOB> 1404 1900 <END> CERESARA  CODICE FISCALE
CODICE FISCALE 5PT1GSW DERMNK6J ,  DATI ANAGRAFICI PLAIA AZZARO <START:DOB> 6 0 1 3 2006 <END> CERESETO  CODICE FISCALE
CODICE FISCALE AMFQSO 5KU1 V TY ,  DATI ANAGRAFICI PLANO AZZOLINI <START:DOB> 9 6 O 4 6 O 5 0  <END> CERESOLE ALBA  CODICE FISCALE
CODICE FISCALE B5QKDYOAMSIV1R 8 ,  DATI ANAGRAFICI PLASA AZZURRI <START:DOB> 97531902 <END> CERESOLE REALE  CODICE FISCALE
CODICE FISCALE 1B98TN E ZVRA H5 ,  DATI ANAGRAFICI PLASCIA BACHI <START:DOB> 6O54 1902 <END> CERETE  CODICE FISCALE
CODICE FISCALE QB H X 6J9 SMUTL ,  DATI ANAGRAFICI PLATANIA BACICH <START:DOB> 3 048O 6O   2 <END> CERETTO LOMELLINA  CODICE FISCALE
CODICE FISCALE E  XZ1IOND 8L 9S ,  DATI ANAGRAFICI PLATIA BACIGALUPO <START:DOB> 24011990 <END> CERGNAGO  CODICE FISCALE
CODICE FISCALE NC9UOEYLV QKJ1B  ,  DATI ANAGRAFICI PLEACIA BACIGATUPO <START:DOB> 21 02 1967 <END> CERIALE  CODICE FISCALE
CODICE FISCALE NJAQTVIGMLSPZD8W ,  DATI ANAGRAFICI PLEBANI BACIGAUP <START:DOB> 0607 1933 <END> CERIANA  CODICE FISCALE
CODICE FISCALE ZY  H9W JDV1AICQ ,  DATI ANAGRAFICI PLEDI BACINO <START:DOB> O O O 2 2006 <END> CERIANO LAGHETTO  CODICE FISCALE
CODICE FISCALE UFLESGPJDK  9R I ,  DATI ANAGRAFICI PLENCIA BACIOCCHI <START:DOB> 1 9 1 7 7 1 8 0  <END> CERIGNALE  CODICE FISCALE
CODICE FISCALE  TLXA9JZ F 6 H5  ,  DATI ANAGRAFICI PLESAIA BACULA <START:DOB> 45271917 <END> CERIGNOLA  CODICE FISCALE
CODICE FISCALE Y1BXTZ MAN8JD PE ,  DATI ANAGRAFICI PLESCIA BADALAMENLI <START:DOB> 419O 1916 <END> CERISANO  CODICE FISCALE
CODICE FISCALE GA  VO EWTF6BJ8  ,  DATI ANAGRAFICI PLESCIO BADALATA <START:DOB> 5 4O1 98 3 6 <END> CERMENATE  CODICE FISCALE
CODICE FISCALE SDLTO HCZ56A XUK ,  DATI ANAGRAFICI PLESICA BADALATE <START:DOB> 13031952 <END> CERMES  CODICE FISCALE
CODICE FISCALE DOF YZKVN IXAT6  ,  DATI ANAGRAFICI PLESSE BADALONE <START:DOB> 09 08 1985 <END> CERMIGNANO  CODICE FISCALE
CODICE FISCALE YRV1 CD  NZISW8  ,  DATI ANAGRAFICI PLUMERI BADANE <START:DOB> 2107 1902 <END> CERNOBBIO  CODICE FISCALE
CODICE FISCALE SCFHTNKP IO6ZR Y ,  DATI ANAGRAFICI POCATERRA BADANI <START:DOB> O 8 3 O 2006 <END> CERNUSCO LOMBARDONE  CODICE FISCALE
CODICE FISCALE  XCI 1BVHNU  96F ,  DATI ANAGRAFICI POCHINI BADANUENTE <START:DOB> 1 3 3 1 6 8 0 0  <END> CERNUSCO SUL NAVIGLIO  CODICE FISCALE
CODICE FISCALE LW K  ARJFI Y6PG ,  DATI ANAGRAFICI POCHINTEST BADARACCO <START:DOB> 56241911 <END> CERRETO D'ASTI  CODICE FISCALE
CODICE FISCALE VU9XDETAW1IH JFM ,  DATI ANAGRAFICI POCI BADIA <START:DOB> O585 1918 <END> CERRETO D'ESI  CODICE FISCALE
CODICE FISCALE RCWLNVPGMSHO  A  ,  DATI ANAGRAFICI POCOBELLI BADIALE <START:DOB> O40    291O <END> CERRETO DI SPOLETO  CODICE FISCALE
CODICE FISCALE  1UT AN C5L VOKP ,  DATI ANAGRAFICI POCORROBA BADILE BADINI <START:DOB> 08011912 <END> CERRETO GRUE  CODICE FISCALE
CODICE FISCALE WPQYGFV JZRBO6   ,  DATI ANAGRAFICI PODEROSO BADULADO <START:DOB> 25 09 1935 <END> CERRETO GUIDI  CODICE FISCALE
CODICE FISCALE C 1 RF5YNH JZ V  ,  DATI ANAGRAFICI PODESTI BAEIGSLUPO <START:DOB> 0508 1925 <END> CERRETO LAZIALE  CODICE FISCALE
CODICE FISCALE  BHI916 EGSVN RJ ,  DATI ANAGRAFICI PODRAGOSI BAFFA <START:DOB> 8 3 0 4 2012 <END> CERRETO SANNITA  CODICE FISCALE
CODICE FISCALE Q WX1VPNFIJSZ95T ,  DATI ANAGRAFICI POETA BAFFATO <START:DOB> 0 6 O O O 6 7 O  <END> CERRETTO LANGHE  CODICE FISCALE
CODICE FISCALE F  LU TXCEZD  9P ,  DATI ANAGRAFICI POGGI BAFFI <START:DOB> 3O681900 <END> CERRINA MONFERRATO  CODICE FISCALE
CODICE FISCALE   J  VFTH5A9 ULZ ,  DATI ANAGRAFICI POGGIOLO BAFFO <START:DOB> 38O0 1904 <END> CERRIONE  CODICE FISCALE
CODICE FISCALE S I HQBD8RMCFETL ,  DATI ANAGRAFICI POIDOMANI BAFFUTO <START:DOB>   85O201 3  <END> CERRO AL LAMBRO  CODICE FISCALE
CODICE FISCALE DPWZKL  EYC XMHJ ,  DATI ANAGRAFICI POJANI BAFUNTO <START:DOB> 07071922 <END> CERRO AL VOLTURNO  CODICE FISCALE
CODICE FISCALE ZBQXETM CGUJ Y   ,  DATI ANAGRAFICI POLACCO BAGALA <START:DOB> 04 10 1900 <END> CERRO MAGGIORE  CODICE FISCALE
CODICE FISCALE 9GHVX51OR 6J C A ,  DATI ANAGRAFICI POLACI BAGARELLI <START:DOB> 0204 1959 <END> CERRO TANARO  CODICE FISCALE
CODICE FISCALE DPH Z NW6JSVXYK  ,  DATI ANAGRAFICI POLANCA BAGAROZZO <START:DOB> 0 0 9 1 2016 <END> CERRO VERONESE  CODICE FISCALE
CODICE FISCALE VB JER1STH5 YGD6 ,  DATI ANAGRAFICI POLCASTRO BAGATELLA <START:DOB> 2 7 2 7 5 1 O 8  <END> CERSOSIMO  CODICE FISCALE
CODICE FISCALE 1W BRU 5 AES9NJF ,  DATI ANAGRAFICI POLCI BAGATTI <START:DOB> 70O81911 <END> CERTALDO  CODICE FISCALE
CODICE FISCALE C6JGSO1 9AUW  VI ,  DATI ANAGRAFICI POLEDRELLI BAGELA <START:DOB> 66O2 1907 <END> CERTOSA DI PAVIA  CODICE FISCALE
CODICE FISCALE EABY WCQGINVJ1UX ,  DATI ANAGRAFICI POLENTA BAGGESI <START:DOB> O81 92 47 5 <END> CERVA  CODICE FISCALE
CODICE FISCALE E VKYZ OI5U1BJNQ ,  DATI ANAGRAFICI POLEO BAGGETTA <START:DOB> 02011922 <END> CERVARA DI ROMA  CODICE FISCALE
CODICE FISCALE OP816 GTIWLAH9MF ,  DATI ANAGRAFICI POLERA BAGGIANI <START:DOB> 05 07 1990 <END> CERVARESE SANTA CROCE  CODICE FISCALE
CODICE FISCALE 5DB KVJZFH TLAQG ,  DATI ANAGRAFICI POLERIMO BAGGIO BAGLIO <START:DOB> 2504 1914 <END> CERVARO  CODICE FISCALE
CODICE FISCALE D5  1KQLNHPB 9MC ,  DATI ANAGRAFICI POLESTRA BAGLIORE <START:DOB> 1 2 1 1 2009 <END> CERVASCA  CODICE FISCALE
CODICE FISCALE XQMATDPHGILROJ9  ,  DATI ANAGRAFICI POLEZZI BAGLIVO <START:DOB> 0 5 4 0 8 O 0 2  <END> CERVATTO  CODICE FISCALE
CODICE FISCALE BZT9O  FSIGR1QU5 ,  DATI ANAGRAFICI POLEZZO BAGNATO <START:DOB> 8O171900 <END> CERVENO  CODICE FISCALE
CODICE FISCALE DY8FZ 9XLRJW 6E  ,  DATI ANAGRAFICI POLFRANCESCHI BAGNI <START:DOB> 6998 1913 <END> CERVERE  CODICE FISCALE
CODICE FISCALE  HWAINFB6R P  OD ,  DATI ANAGRAFICI POLICASTRO BAGNO <START:DOB>  05  O89 23 <END> CERVESINA  CODICE FISCALE
CODICE FISCALE 8 1XLNVBYZRQ IKH ,  DATI ANAGRAFICI POLIFRONI BAGNOLI <START:DOB> 10081920 <END> CERVETERI  CODICE FISCALE
CODICE FISCALE O  CU6VYZGAM HBP ,  DATI ANAGRAFICI POLISI BAGUASCO <START:DOB> 30 04 1902 <END> CERVIA  CODICE FISCALE
CODICE FISCALE NTVZXSI M DKP5 C ,  DATI ANAGRAFICI POLISTINA BAIAMONTO <START:DOB> 1410 1923 <END> CERVICATI  CODICE FISCALE
CODICE FISCALE 9WHFL  UAVOTX8QB ,  DATI ANAGRAFICI POLITE BAIDOVINO <START:DOB> 9 9 1 O 2006 <END> CERVIGNANO D'ADDA  CODICE FISCALE
CODICE FISCALE 9ELPS IGVYKTOM8A ,  DATI ANAGRAFICI POLIZZI BAILONI <START:DOB> 3 7 3 5 3 4 O O  <END> CERVIGNANO DEL FRIULI  CODICE FISCALE
CODICE FISCALE EV  J RPNKQBSCI  ,  DATI ANAGRAFICI POLLACCI BAILOTTI <START:DOB> 69671918 <END> CERVINARA  CODICE FISCALE
CODICE FISCALE P 9 AG6RCJL5UHBI ,  DATI ANAGRAFICI POLLADINO BAIO <START:DOB> 46OO 1918 <END> CERVINO  CODICE FISCALE
CODICE FISCALE   S1WFZRNLKDEBQU ,  DATI ANAGRAFICI POLLARI BAIOCCHI <START:DOB>  7O9 O5  28 <END> CERVO  CODICE FISCALE
CODICE FISCALE POK5 GBDYM  T QA ,  DATI ANAGRAFICI POLLASTRI BAIONI <START:DOB> 15041948 <END> CERZETO  CODICE FISCALE
CODICE FISCALE P X NBU8FL ZYGMS ,  DATI ANAGRAFICI POLLASTRO BAJA <START:DOB> 23 03 1927 <END> CESA  CODICE FISCALE
CODICE FISCALE XPOD9BFLQ5TZME 6 ,  DATI ANAGRAFICI POLLEDRO BAJACALLUPO <START:DOB> 0610 1979 <END> CESANA BRIANZA  CODICE FISCALE
CODICE FISCALE JUO8Y HA VQ GIT  ,  DATI ANAGRAFICI POLLEGRINI BAJALANNO <START:DOB> 4 9 8 6 2014 <END> CESANA TORINESE  CODICE FISCALE
CODICE FISCALE T   ZI9UYP5AEX O ,  DATI ANAGRAFICI POLLENA BALASCIO BALASSI <START:DOB> 5 1 1 5 4 O 6 0  <END> CESANO BOSCONE  CODICE FISCALE
CODICE FISCALE A98WZMXFVQ6D  PC ,  DATI ANAGRAFICI POLLETTO BALASSONE <START:DOB> OO331915 <END> CESANO MADERNO  CODICE FISCALE
CODICE FISCALE HWX6J D  FRLI5TO ,  DATI ANAGRAFICI POLLICE BALBO <START:DOB> 7030 1910 <END> CESARA  CODICE FISCALE
CODICE FISCALE  BDZ WY5PG8A KQV ,  DATI ANAGRAFICI POLLICINO BALBOA <START:DOB>  871609O  3 <END> CESARÒ  CODICE FISCALE
CODICE FISCALE M1IBC 59QNJGT K6 ,  DATI ANAGRAFICI POLLINARI BALDAKINI <START:DOB> 26031971 <END> CESATE  CODICE FISCALE
CODICE FISCALE YJ61BMXS  HFNAV8 ,  DATI ANAGRAFICI POLLINI BALDANTE <START:DOB> 24 04 1960 <END> CESENA  CODICE FISCALE
CODICE FISCALE ARH NM L6EZIO 5T ,  DATI ANAGRAFICI POLLO BALDASSARRE <START:DOB> 1902 1995 <END> CESENATICO  CODICE FISCALE
CODICE FISCALE SQ8F6O15 DYBHJIU ,  DATI ANAGRAFICI POLONIA BALDESCHI <START:DOB> 8 7 1 O 2003 <END> CESINALI  CODICE FISCALE
CODICE FISCALE FVQ8A GT5  N BLY ,  DATI ANAGRAFICI POLTRONE BALDI <START:DOB> 6 2 O 1 6 9 8 7  <END> CESIO  CODICE FISCALE
CODICE FISCALE 9PRIYTMD6 HXUNO  ,  DATI ANAGRAFICI POLVERARI BALDO <START:DOB> 01591919 <END> CESIOMAGGIORE  CODICE FISCALE
CODICE FISCALE QITCMDJR PEL  5H ,  DATI ANAGRAFICI POMARI BALDOPANE <START:DOB> 0400 1902 <END> CESSALTO  CODICE FISCALE
CODICE FISCALE JCKBASXHD 6E PTQ ,  DATI ANAGRAFICI POMATI BALESTARI <START:DOB> 21O09  7 6 5 <END> CESSANITI  CODICE FISCALE
CODICE FISCALE ZXK91 PCEBGVMFOJ ,  DATI ANAGRAFICI POMETTI BALESTERI <START:DOB> 09021935 <END> CESSAPALOMBO  CODICE FISCALE
CODICE FISCALE  APH5DJTQIU9FN8  ,  DATI ANAGRAFICI POMGANSO BALESTRA <START:DOB> 02 10 1960 <END> CESSOLE  CODICE FISCALE
CODICE FISCALE EZDGJFI 9P 5CWNL ,  DATI ANAGRAFICI POMICE BALESTRARI <START:DOB> 2602 1964 <END> CETARA  CODICE FISCALE
CODICE FISCALE 1CWIG9U A YE LJ5 ,  DATI ANAGRAFICI POMILLA BALICE <START:DOB> 5 2 O 0 2018 <END> CETO  CODICE FISCALE
CODICE FISCALE  K51  HVUDNFQWLS ,  DATI ANAGRAFICI POMO BALISTERIO <START:DOB> 3 4 4 4 6 6 9 9  <END> CETONA  CODICE FISCALE
CODICE FISCALE 6U S1HNIDW5TO QP ,  DATI ANAGRAFICI POMODORO BALLARINO <START:DOB> 82O41909 <END> CETRARO  CODICE FISCALE
CODICE FISCALE JQ8  FLROG BA DE ,  DATI ANAGRAFICI POMPEATI BALLATORE BALLAUDI <START:DOB> 2O35 1915 <END> CEVA  CODICE FISCALE
CODICE FISCALE 8D1BX C9Q VLZ5YO ,  DATI ANAGRAFICI POMPEI BALLEIU <START:DOB> 89O05 2O  1 4 <END> CEVO  CODICE FISCALE
CODICE FISCALE U95 OK6BRYFQDJCS ,  DATI ANAGRAFICI PONCPUTO BALLERINI <START:DOB> 05031921 <END> CHALLAND-SAINT-ANSELME  CODICE FISCALE
CODICE FISCALE  KWFNPJQ918YO 6  ,  DATI ANAGRAFICI PONELLI BALLESTERIO <START:DOB> 03 04 1931 <END> CHALLAND-SAINT-VICTOR  CODICE FISCALE
CODICE FISCALE RNWTVDUGHISMA8O  ,  DATI ANAGRAFICI PONGITORE BALLESTEROS <START:DOB> 0103 1907 <END> CHAMBAVE  CODICE FISCALE
CODICE FISCALE  WGTCPXH J9YBDUQ ,  DATI ANAGRAFICI PONTARELLI BALLIATA <START:DOB> 9 4 2 O 2019 <END> CHAMOIS  CODICE FISCALE
CODICE FISCALE OMRIP E ZBYLANVX ,  DATI ANAGRAFICI PONTAREO BALLISTA <START:DOB> 9 O O 5 O 1 1 7  <END> CHAMPDEPRAZ  CODICE FISCALE
CODICE FISCALE 9 KPRBEQ8 TYC  M ,  DATI ANAGRAFICI PONTARI BALLOTA <START:DOB> 47371910 <END> CHAMPORCHER  CODICE FISCALE
CODICE FISCALE PQ D6K ANS  I5WC ,  DATI ANAGRAFICI PONTECORVO BALLOTTA <START:DOB> 1O22 1915 <END> CHARVENSOD  CODICE FISCALE
CODICE FISCALE SY1EJPF9VL6B N W ,  DATI ANAGRAFICI PONTIERI BALMA <START:DOB>  315  87692 <END> CHÂTILLON  CODICE FISCALE
CODICE FISCALE TV OLHDAR8PBI6MU ,  DATI ANAGRAFICI PONTIROLI BALOSSI <START:DOB> 07031900 <END> CHERASCO  CODICE FISCALE
CODICE FISCALE 6 DFR1BYU8ELZ IT ,  DATI ANAGRAFICI PONTONE BALSAMO <START:DOB> 26 06 1953 <END> CHEREMULE  CODICE FISCALE
CODICE FISCALE AS6Q1BCYWMNE UF5 ,  DATI ANAGRAFICI PONZINI BALSANO <START:DOB> 2901 1989 <END> CHIALAMBERTO  CODICE FISCALE
CODICE FISCALE   6VEHUS JYP8 MZ ,  DATI ANAGRAFICI PONZIO BALSANSO <START:DOB> 6 2 O 6 2017 <END> CHIAMPO  CODICE FISCALE
CODICE FISCALE  EFSR9HXLGIJ6ZY  ,  DATI ANAGRAFICI PONZONE BALSOMO <START:DOB> 3 O 4 5 3 O O 4  <END> CHIANCHE  CODICE FISCALE
CODICE FISCALE 6JEGFV5WZS AX 9L ,  DATI ANAGRAFICI POPOLESCHI BALZANO <START:DOB> 51751909 <END> CHIANCIANO TERME  CODICE FISCALE
CODICE FISCALE 6 T8 IK FCWNV1YG ,  DATI ANAGRAFICI POPOLO BALZARETTI <START:DOB> 1490 1913 <END> CHIANNI  CODICE FISCALE
CODICE FISCALE ZGL K R SP V69NI ,  DATI ANAGRAFICI POPPI BALZARIN <START:DOB> 8924 O50O1 7  <END> CHIANOCCO  CODICE FISCALE
CODICE FISCALE  X Q B18 D9GRNEM ,  DATI ANAGRAFICI PORATA BALZARO <START:DOB> 02011994 <END> CHIARAMONTE GULFI  CODICE FISCALE
CODICE FISCALE   VGAIK W1J9QM6B ,  DATI ANAGRAFICI PORCACCHI BABANO <START:DOB> 14 08 1955 <END> CHIARAMONTI  CODICE FISCALE
CODICE FISCALE Q W1LY COH 5TGPN ,  DATI ANAGRAFICI PORCARO BABBEUE <START:DOB> 0208 1994 <END> CHIARANO  CODICE FISCALE
CODICE FISCALE  H5LQKBW SVU NMG ,  DATI ANAGRAFICI PORCELLA BABIONE <START:DOB> 7 O 4 6 2013 <END> CHIARAVALLE  CODICE FISCALE
CODICE FISCALE CLF H TSAKYU BDI ,  DATI ANAGRAFICI PORCELLI BABZAROTTI <START:DOB> 5 6 O 5 1 2 2 8  <END> CHIARAVALLE CENTRALE  CODICE FISCALE
CODICE FISCALE 1SUWJV5Q M8DFK9  ,  DATI ANAGRAFICI PORCHELLA BAC <START:DOB> O8741907 <END> CHIARI  CODICE FISCALE
CODICE FISCALE EN9QOCVMWS8IBX5Y ,  DATI ANAGRAFICI PORCI BACCALA <START:DOB> 58O5 1909 <END> CHIAROMONTE  CODICE FISCALE
CODICE FISCALE L5   STKOZENB8XP ,  DATI ANAGRAFICI PORCILE BACCALARE <START:DOB>  6542   7O  <END> CHIAUCI  CODICE FISCALE
CODICE FISCALE ZVLXKUF YAO 5TP  ,  DATI ANAGRAFICI PORCILLINE BACCANI <START:DOB> 30061921 <END> CHIAVARI  CODICE FISCALE
CODICE FISCALE YZ1V RDJLOEHP6 F ,  DATI ANAGRAFICI PORCO BACCARA <START:DOB> 19 06 1952 <END> CHIAVENNA  CODICE FISCALE
CODICE FISCALE 6SDTWLU1 V9 JBKQ ,  DATI ANAGRAFICI PORCU BACCAREDA <START:DOB> 0207 1944 <END> CHIAVERANO  CODICE FISCALE
CODICE FISCALE EIR AKT V15 FNX9 ,  DATI ANAGRAFICI POREDI BACCARELLA <START:DOB> 0 9 5 8 2004 <END> CHIENES  CODICE FISCALE
CODICE FISCALE GMX VCSF9HQ 8I   ,  DATI ANAGRAFICI PORENCCARO BACCARI <START:DOB> 3 O 3 O 0 7 4 O  <END> CHIERI  CODICE FISCALE
CODICE FISCALE L6MQ FY8 O5RPXBC ,  DATI ANAGRAFICI PORENI BACCELLI <START:DOB> 79O11913 <END> CHIES D'ALPAGO  CODICE FISCALE
CODICE FISCALE K H9L6  GPUNMTJ  ,  DATI ANAGRAFICI PORETTI BACCELLIERI <START:DOB> O97O 1916 <END> CHIESA IN VALMALENCO  CODICE FISCALE
CODICE FISCALE  I1R 8E O5DAUYQJ ,  DATI ANAGRAFICI PORPORA BACCHETTI <START:DOB> O75308   O 42 <END> CHIESANUOVA  CODICE FISCALE
CODICE FISCALE WKHP CX9RT8LFGJ  ,  DATI ANAGRAFICI PORPORATI BACCHI <START:DOB> 11021946 <END> CHIESINA UZZANESE  CODICE FISCALE
CODICE FISCALE OCIJ  5UAE GH YM ,  DATI ANAGRAFICI PORQUEDDU BACCHIMHANE <START:DOB> 16 01 1946 <END> CHIETI  CODICE FISCALE
CODICE FISCALE LTFMVIZEX DBSQY  ,  DATI ANAGRAFICI PORRAZNO BACCI <START:DOB> 0302 1958 <END> CHIEUTI  CODICE FISCALE
CODICE FISCALE JEWKZNBPC  QS96Y ,  DATI ANAGRAFICI PORREGA BACCIERI <START:DOB> 8 6 5 6 2011 <END> CHIEVE  CODICE FISCALE
CODICE FISCALE CMQ5FTL  X9A 8KW ,  DATI ANAGRAFICI PORRELLO BAMBINO <START:DOB> O 4 4 3 7 4 1 1  <END> CHIGNOLO D'ISOLA  CODICE FISCALE
CODICE FISCALE 6G1MVK CXRIS9 YQ ,  DATI ANAGRAFICI PORRETTI BANADINO <START:DOB> 5O551900 <END> CHIGNOLO PO  CODICE FISCALE
CODICE FISCALE AGXV  WPZNY5S68M ,  DATI ANAGRAFICI PORRU BANANCO <START:DOB> 1O95 1908 <END> CHIOGGIA  CODICE FISCALE
CODICE FISCALE HOZRPBTMCQ1 LSXU ,  DATI ANAGRAFICI PORSOSA BANANNO <START:DOB> 8 O90   4731 <END> CHIOMONTE  CODICE FISCALE
CODICE FISCALE  OTP1N D6IZ5UHGC ,  DATI ANAGRAFICI PORTA BANCHIERI <START:DOB> 14091945 <END> CHIONS  CODICE FISCALE
CODICE FISCALE H  ZCQOR MEN5KLX ,  DATI ANAGRAFICI PORTAFOGLIO BANDANE <START:DOB> 06 05 1906 <END> CHIOPRIS-VISCONE  CODICE FISCALE
CODICE FISCALE 6O8EWP9GI HLZR A ,  DATI ANAGRAFICI PORTALEPI BANDERA <START:DOB> 0205 1980 <END> CHITIGNANO  CODICE FISCALE
CODICE FISCALE ZSBQ 5FUYTCDH18G ,  DATI ANAGRAFICI PORTELLI BANDEROLA <START:DOB> 8 4 7 O 2001 <END> CHIUDUNO  CODICE FISCALE
CODICE FISCALE 5UOTKZ RXWNJQ 1H ,  DATI ANAGRAFICI PORTERA BANDETTINI <START:DOB> 0 1 6 6 4 4 8 7  <END> CHIUPPANO  CODICE FISCALE
CODICE FISCALE L H1YN5Z9DKUJW M ,  DATI ANAGRAFICI PORTERO BANDIERA <START:DOB> 3O831918 <END> CHIURO  CODICE FISCALE
CODICE FISCALE EHJWSF5RP Z6AX1Y ,  DATI ANAGRAFICI PORTICO BANDINELLI <START:DOB> O5O7 1917 <END> CHIUSA  CODICE FISCALE
