CODICE FISCALE   S5LGIOW N HPB1K ,  DATI ANAGRAFICI ABATE ABACO  POK 19 06 1969 M ABANO TERME  <START:Prov> AG <END> CODICE FISCALE 
CODICE FISCALE 1GIT E6HO U5B8F  DATI ANAGRAFICI DATTILO PONZIANO 30987O O 1   CODICE FISCALE 
CODICE FISCALE C RP G  K EHNST9 DATI ANAGRAFICI DATTINO PRIMIANO 23061921  CODICE FISCALE 
CODICE FISCALE  G BYTU1HDWNLS M DATI ANAGRAFICI DATTOLI PROSPERINO 04 10 1962  CODICE FISCALE 
CODICE FISCALE F6D5JX  98ULYKIA DATI ANAGRAFICI DAUGHTER QUADRIO 0410 1987  CODICE FISCALE 
CODICE FISCALE Y XJVQT81I DC6HE DATI ANAGRAFICI DAUGHTERANTONINO QUARTINO 8 0 5 2 2003  CODICE FISCALE 
CODICE FISCALE OD5YXFAS NI QB6U DATI ANAGRAFICI D’AVEANZO QUIDO 7 1 0 1 0 7 O 9   CODICE FISCALE 
CODICE FISCALE QUY6KI 5J  MVPH9 DATI ANAGRAFICI DAVIDS QUINTILINO 1O661900  CODICE FISCALE 
CODICE FISCALE  PTWDV 5E8 ZCBXO DATI ANAGRAFICI D’AVINO QUINTINO 4408 1901  CODICE FISCALE 
CODICE FISCALE  YFJA5ZC HG VEKO DATI ANAGRAFICI DAVITE QUIRICO  O2 4 170 8O9  CODICE FISCALE 
CODICE FISCALE T1KSP5FBXYGQVW9C DATI ANAGRAFICI DAVITOVITCH QUALTIERO 22081983  CODICE FISCALE 
CODICE FISCALE  LDN6CRHV QZFT5X DATI ANAGRAFICI DAVITTI QUARTO 06 07 1901  CODICE FISCALE 
CODICE FISCALE ENGHQW8BUX6TYR O DATI ANAGRAFICI DAZZO QUINTALINO 1902 1988  CODICE FISCALE 
CODICE FISCALE VDMLPEQHYFXZ  CS DATI ANAGRAFICI DCALINO QUINTILIO O 9 O 8 2013  CODICE FISCALE 
CODICE FISCALE 5PLU 1OFSM RHK X DATI ANAGRAFICI DE ALBERTIS QUINTO 3 4 5 6 6 1 0 O   CODICE FISCALE 
CODICE FISCALE QCU HFITLWA8EZ6S DATI ANAGRAFICI DE ALTERIIS QUIRINO 91561901  CODICE FISCALE 
CODICE FISCALE WQVH5GA9UPOI  TF DATI ANAGRAFICI DE ALTERNS QUARTIERO O407 1900  CODICE FISCALE 
CODICE FISCALE  ZTPB D8GOQ UJ 5 DATI ANAGRAFICI DE ARENA QUERINO 58   O916 O   CODICE FISCALE 
CODICE FISCALE 69BI  5G1FUCVHTO DATI ANAGRAFICI DE BIAS QUINTIGLIO 29091972  CODICE FISCALE 
CODICE FISCALE 56U1MVBOC D LFJR DATI ANAGRAFICI DE BIASI QUINTILLIO 08 08 1944  CODICE FISCALE 
CODICE FISCALE FAVZM  91SPXLJ6D DATI ANAGRAFICI DE CANDIA QUINZIANO 0710 1989  CODICE FISCALE 
CODICE FISCALE LA6BS FWRYO1U V9 DATI ANAGRAFICI DE CAPRIO QUIRO 1 O 4 7 2009  CODICE FISCALE 
CODICE FISCALE XDJ5G 8Y IKVMOQL DATI ANAGRAFICI DE CHESARO QUARTILIO 0 0 4 4 3 6 6 O   CODICE FISCALE 
CODICE FISCALE 18VXRTPCWJIHL  K DATI ANAGRAFICI DE CHRISTINE QUERRINO 23501900  CODICE FISCALE 
CODICE FISCALE 5 E GO KSD6WFUVC DATI ANAGRAFICI DE CLEMENTE QUINTILIANO 5OO7 1911  CODICE FISCALE 
CODICE FISCALE 8CKPX19HLGTI5ZJ6 DATI ANAGRAFICI DE CLEMENTS QUINTILLO  5296087  OO1  CODICE FISCALE 
CODICE FISCALE C  SYT LMWR Q86D DATI ANAGRAFICI DE CORNITIBUS QUINZIO 10111951  CODICE FISCALE 
CODICE FISCALE 9XA 5L QT8VOGJ1H DATI ANAGRAFICI DE CRERICO QUISILIO 09 02 1977  CODICE FISCALE 
CODICE FISCALE RHN  OBE V16JT9A DATI ANAGRAFICI DE FELICE RACHELINO 1405 1979  CODICE FISCALE 
CODICE FISCALE KVDFEG I5HQ 8C9M DATI ANAGRAFICI DE FRANCHIS RAGGIO O 2 O 5 2019  CODICE FISCALE 
CODICE FISCALE JALE V9 YOD  IRX DATI ANAGRAFICI DE FRANCISCI RAMONDO 6 4 3 4 0 3 7 8   CODICE FISCALE 
CODICE FISCALE 1X UDGZ P8KYLNVH DATI ANAGRAFICI DE GENNARO REALE 703O1909  CODICE FISCALE 
CODICE FISCALE  VCXDTBY E5SFQPG DATI ANAGRAFICI DE GENOVA REDUINO 1497 1908  CODICE FISCALE 
CODICE FISCALE AONHQ 5DFZC 1MY8 DATI ANAGRAFICI DE GIOVANNI REMIDIO   19507 O82  CODICE FISCALE 
CODICE FISCALE RD CPZKT 8YSH6M  DATI ANAGRAFICI DE GUSTANZ RACHILDO 15031931  CODICE FISCALE 
CODICE FISCALE MCNQGE YVD BPROF DATI ANAGRAFICI DE GUSTANZI RAGUELE 20 06 1965  CODICE FISCALE 
CODICE FISCALE DWL 5V 6 MJAOBSR DATI ANAGRAFICI DE HORATIIS RAMUCCIO 2801 1917  CODICE FISCALE 
CODICE FISCALE BOL6XW FNYQJGIR  DATI ANAGRAFICI DE IAGOVO REALINO 5 2 4 6 2011  CODICE FISCALE 
CODICE FISCALE FA LO P9E SX1K 6 DATI ANAGRAFICI DE IOANNA REFENIO 2 5 3 0 5 3 6 8   CODICE FISCALE 
CODICE FISCALE BTYJCD5 VH6KQW   DATI ANAGRAFICI DE JOHN REMIDO 60051916  CODICE FISCALE 
CODICE FISCALE 1 WHUJXZCGK RM6T DATI ANAGRAFICI DE LARCO RADAMES 3987 1909  CODICE FISCALE 
CODICE FISCALE G8Q Z PFWMRUX1D  DATI ANAGRAFICI DE LAROCCA RAIMO 49 876 O  5  CODICE FISCALE 
CODICE FISCALE JQL9ZEYMIVP5BUA  DATI ANAGRAFICI DE LAROSA RAMUSINO 24041935  CODICE FISCALE 
CODICE FISCALE DEARN6T8OV JKU1F DATI ANAGRAFICI DE LIONIBUS REALMO 11 05 1931  CODICE FISCALE 
CODICE FISCALE OU8PMYH GF 15WN  DATI ANAGRAFICI DE LORTO REFFAELE 0604 1930  CODICE FISCALE 
CODICE FISCALE 5 X ZJKEL8F QRPW DATI ANAGRAFICI DE LUCA REMIGGIO O 9 0 2 2003  CODICE FISCALE 
CODICE FISCALE ENYA T56 VHFJK8  DATI ANAGRAFICI DE MAGGIO RADAMESSE 2 5 O 8 5 6 4 4   CODICE FISCALE 
CODICE FISCALE PZMGSJNTUC6H9VLE DATI ANAGRAFICI DE MAGISTRIS RAIMONDI 68711911  CODICE FISCALE 
CODICE FISCALE UY1HX Q N8F56C J DATI ANAGRAFICI DE MALTA RANATO OO01 1904  CODICE FISCALE 
CODICE FISCALE  GFY HNRTDEMBSJ  DATI ANAGRAFICI DE MARK REAMO O7  93 02O1  CODICE FISCALE 
CODICE FISCALE BCO8S6NW9EV K1GD DATI ANAGRAFICI DE MELIORIBUS REGALINO 08031900  CODICE FISCALE 
CODICE FISCALE ZPGTI N9Q1X  LO5 DATI ANAGRAFICI DE MICHELE REMIGILDO 08 07 1933  CODICE FISCALE 
CODICE FISCALE WT8VQRJUCHPG6M1  DATI ANAGRAFICI DE NOMO RADAMEZ 2705 1960  CODICE FISCALE 
CODICE FISCALE XYEGK81T F9MODH  DATI ANAGRAFICI DE ORCHIS RAIMONDINO 6 O 7 7 2000  CODICE FISCALE 
CODICE FISCALE STCZ GM8OR U VWD DATI ANAGRAFICI DE PAOLIS D’EPIRRO RANCESCO 1 0 O O 9 O 3 7   CODICE FISCALE 
CODICE FISCALE   9TU5 XYOIM DLG DATI ANAGRAFICI DE PETERS REANO 44761904  CODICE FISCALE 
CODICE FISCALE U8MWCANT69 OFX V DATI ANAGRAFICI DE PICCOLLELIS REGGIANO 4O15 1914  CODICE FISCALE 
CODICE FISCALE OIUTP5FNJXL  ZGD DATI ANAGRAFICI DE PORCELLANI REMIGIO   3069 4 87  CODICE FISCALE 
CODICE FISCALE DM EUO 1P A W9BF DATI ANAGRAFICI DE PRETORO RADAMISTO 30091931  CODICE FISCALE 
CODICE FISCALE TRCHKP J5E LAOXW DATI ANAGRAFICI DE SALVIO RAIMONDO 19 02 1994  CODICE FISCALE 
CODICE FISCALE JYPBQ1 I REU9Z 8 DATI ANAGRAFICI DE SARACHIS RANDO 2804 1986  CODICE FISCALE 
CODICE FISCALE 8CMHR5WS1PVO ZNU DATI ANAGRAFICI DE SCACCHI REANTO 4 O 8 0 2015  CODICE FISCALE 
CODICE FISCALE  Y6JDLFXIGHRUPEM DATI ANAGRAFICI DE SILVESTRIS REGGIO 4 5 3 9 8 9 7 0   CODICE FISCALE 
CODICE FISCALE WEC1H TFPS BAZUN DATI ANAGRAFICI DE STEFONO REMIGLIO 84O01908  CODICE FISCALE 
CODICE FISCALE IM LVTGBRQ8PS1 F DATI ANAGRAFICI DE VOTO RADE OO33 1904  CODICE FISCALE 
CODICE FISCALE SF HBJ 8R1YPZK G DATI ANAGRAFICI DE ZINGO RAINALDO 4 O637 12 9O5  CODICE FISCALE 
CODICE FISCALE LX 6DCTVOGUF9ZS8 DATI ANAGRAFICI DEANGELIS RANDOLFO 29011975  CODICE FISCALE 
CODICE FISCALE SY  VPEK 8XNF6CA DATI ANAGRAFICI DEBARTOLOMEO RECLUS 05 10 1999  CODICE FISCALE 
CODICE FISCALE C O 8TGHPMZ1UR9N DATI ANAGRAFICI DEBELLIS REGILDO 0804 1993  CODICE FISCALE 
CODICE FISCALE A 8H1 ZWBC9 TJXF DATI ANAGRAFICI DEBENEDETTI REMILDO 9 1 5 2 2012  CODICE FISCALE 
CODICE FISCALE  WSF 68A J IZYUX DATI ANAGRAFICI DEBENEDETTO RADIANO 1 5 4 5 4 0 0 5   CODICE FISCALE 
CODICE FISCALE YE PJM6 BFWXUTKD DATI ANAGRAFICI DEBETTA RAINARDO 48801908  CODICE FISCALE 
CODICE FISCALE EVO 8H9IKBP5 YDQ DATI ANAGRAFICI DEBIASE RANIERE 6O4O 1910  CODICE FISCALE 
CODICE FISCALE IY OL 5G DQWNEXV DATI ANAGRAFICI DEBIASI RECTE 4  9 13627O5  CODICE FISCALE 
CODICE FISCALE  RG6C YTOW5IB  M DATI ANAGRAFICI DEBLASIO REGINALDO 06071985  CODICE FISCALE 
CODICE FISCALE ZMY 5GODHI BX9J6 DATI ANAGRAFICI DEBOLINI REMILIO 21 09 1957  CODICE FISCALE 
CODICE FISCALE JZA1NIQHSVMEPXLY DATI ANAGRAFICI DEBONIA RADIO 0711 1955  CODICE FISCALE 
CODICE FISCALE LRIHKFA CUVDN8JY DATI ANAGRAFICI DECANI RAINER 6 7 8 O 2001  CODICE FISCALE 
CODICE FISCALE QN JEAU9SY1V RHG DATI ANAGRAFICI DECARLO RANIERI 1 3 O O O 8 9 3   CODICE FISCALE 
CODICE FISCALE XR15COBKY 8PAV 6 DATI ANAGRAFICI DECARTE REDAMES 60O81914  CODICE FISCALE 
CODICE FISCALE L6NZM  YBSJ15U A DATI ANAGRAFICI DECATERINA REGINO O400 1909  CODICE FISCALE 
CODICE FISCALE  FRKV Z NQSDLMXI DATI ANAGRAFICI D’ECCLISSO REMIRO  83254O6 7 91  CODICE FISCALE 
CODICE FISCALE U6T EYHSX8 LZVQF DATI ANAGRAFICI DECECCO RADISLAO 15091924  CODICE FISCALE 
CODICE FISCALE RACUHW I8KFZBV 9 DATI ANAGRAFICI DECEMBRE RAINERI 14 11 1950  CODICE FISCALE 
CODICE FISCALE  LO 5PK9WS UYM1  DATI ANAGRAFICI DECEMBRIO RANIERO 1211 1974  CODICE FISCALE 
CODICE FISCALE DR OGI9VNCH5 TY8 DATI ANAGRAFICI DECESARE REDAMO 0 O 4 8 2009  CODICE FISCALE 
CODICE FISCALE SQK UDT L8JV FH  DATI ANAGRAFICI DECICEO REGIO 2 O 4 8 7 5 9 7   CODICE FISCALE 
CODICE FISCALE  I8C RYWUMV LSG  DATI ANAGRAFICI DECIMO REMO 30O51910  CODICE FISCALE 
CODICE FISCALE RQDCG8VO9TZW1PIM DATI ANAGRAFICI DECIO RADO 96O1 1904  CODICE FISCALE 
CODICE FISCALE 9RUA8BHJT5 G6KZM DATI ANAGRAFICI DECITINE RAINERIO  6759O0 381  CODICE FISCALE 
CODICE FISCALE  P QKTC5 SVN IBE DATI ANAGRAFICI DECRISTOFANO RANUCCIO 10061933  CODICE FISCALE 
CODICE FISCALE 1ARHJ  5SX8QT9 L DATI ANAGRAFICI DECRISTOFORO REDANO 28 06 1930  CODICE FISCALE 
CODICE FISCALE RSKM6DB9 N8PLE T DATI ANAGRAFICI DEDO REGIS 2304 1939  CODICE FISCALE 
CODICE FISCALE AW SRJ6Z18 UGV5Q DATI ANAGRAFICI DEDOMINUIS REMOALDO 8 O O 0 2015  CODICE FISCALE 
CODICE FISCALE   IAD1JS6OBZELF9 DATI ANAGRAFICI DEFARRIS RAFAELE 9 O 0 9 5 5 7 6   CODICE FISCALE 
CODICE FISCALE U CG ZWHJB6YDKO9 DATI ANAGRAFICI DEFELICI RAINERO OOO11905  CODICE FISCALE 
CODICE FISCALE WKEDNUMSC 6H9A5  DATI ANAGRAFICI DEFEO RANUNZIO 3409 1915  CODICE FISCALE 
CODICE FISCALE ZOEIKUG5STAH LMQ DATI ANAGRAFICI DEFILIPPE REDEMISTO 0 O 25O419  6  CODICE FISCALE 
CODICE FISCALE OUTX A P5GE9V6RZ DATI ANAGRAFICI DEFILIPPIS REGOLINO 05021925  CODICE FISCALE 
CODICE FISCALE C1L 9NUIF 8KSZTM DATI ANAGRAFICI DEFLORIO REMOLO 19 02 1982  CODICE FISCALE 
CODICE FISCALE  AFCJYTWHGEM59DK DATI ANAGRAFICI DEFRANCO RAFAELINO 2005 1904  CODICE FISCALE 
CODICE FISCALE XDRI QCNH 6GZF   DATI ANAGRAFICI DEFURIA RAINIERI 9 5 O 6 2013  CODICE FISCALE 
CODICE FISCALE  AQUGRCFV8K1YXPO DATI ANAGRAFICI DEGATTIS RANUZIO 2 8 O 0 O 4 3 9   CODICE FISCALE 
CODICE FISCALE CZOWG9T UM AKLIR DATI ANAGRAFICI DEGENOVA REDENTE OOOO1901  CODICE FISCALE 
CODICE FISCALE YM PN X HCW8R6VE DATI ANAGRAFICI DEGLI ELMI REGOLO 9O3O 1916  CODICE FISCALE 
CODICE FISCALE I8 JBLK51YVC RMN DATI ANAGRAFICI DEGLI OCCHI REMON   O0986O 357  CODICE FISCALE 
CODICE FISCALE  NW985 AV6PLU  S DATI ANAGRAFICI DEGLI ORGANI RAFAELLO 02051974  CODICE FISCALE 
CODICE FISCALE TAHJX1O FC6MBDY  DATI ANAGRAFICI DEGLI SPOSTI RAINIERO 14 10 1935  CODICE FISCALE 
CODICE FISCALE J9V6BMXCU ZSQ5OP DATI ANAGRAFICI DEI CAPUA RAO 2208 1929  CODICE FISCALE 
CODICE FISCALE  SRD  COTKXJ6 WA DATI ANAGRAFICI DEINDICILEUS REDENTINO 3 O 5 5 2019  CODICE FISCALE 
CODICE FISCALE JAT XRWQHZ OE56I DATI ANAGRAFICI DEINGNOTO REIMONDO 6 2 6 0 3 O O O   CODICE FISCALE 
CODICE FISCALE RLXYD5SIO6M1BWHQ DATI ANAGRAFICI DEIORIO REMONDINO 1O281915  CODICE FISCALE 
CODICE FISCALE SQBTZGM IDV 1P   DATI ANAGRAFICI DEL BAGNO RAFFAELE 7866 1909  CODICE FISCALE 
CODICE FISCALE O DLS UHNFAVK EC DATI ANAGRAFICI DEL BALZO RALDO 6 143928 57    CODICE FISCALE 
CODICE FISCALE  OFRNQV PAWKJZY6 DATI ANAGRAFICI DEL BECCARO RAOLO 16021979  CODICE FISCALE 
CODICE FISCALE 5S1DEGMKZRFPXBWQ DATI ANAGRAFICI DEL BENE REDENTO 20 11 1939  CODICE FISCALE 
CODICE FISCALE  TCLB MFY9ZSE ND DATI ANAGRAFICI DEL CARCERE REINALDO 1108 1958  CODICE FISCALE 
CODICE FISCALE CGVQRKH6SEALZ TI DATI ANAGRAFICI DEL CERRO REMUALDO 0 1 0 0 2003  CODICE FISCALE 
CODICE FISCALE KYQUM8 F96 AGRTH DATI ANAGRAFICI DEL CHECCOLO RAFFAELINO 2 8 4 3 7 1 3 6   CODICE FISCALE 
CODICE FISCALE N9KQ6LIXWT V5ZSY DATI ANAGRAFICI DEL CORSO RALFO 12OO1906  CODICE FISCALE 
CODICE FISCALE YT D6CGK1  WOB H DATI ANAGRAFICI DEL DELLORTO RAOUL 6645 1906  CODICE FISCALE 
CODICE FISCALE Y O5DW HF96ZBIQX DATI ANAGRAFICI DEL DOTTO REDENTORE O  97 4 28O65  CODICE FISCALE 
CODICE FISCALE  U6 W I1PAHOFV X DATI ANAGRAFICI DEL DUCA REINER 06091951  CODICE FISCALE 
CODICE FISCALE MH KQGC  18DI NS DATI ANAGRAFICI DEL FRATE RENALDO 29 05 1977  CODICE FISCALE 
CODICE FISCALE 8ORXW DL 9 6TYZ  DATI ANAGRAFICI DEL GARBO RAFFAELLE 2101 1931  CODICE FISCALE 
ICE FISCALE BJAC Y DZPT8KXV9 , ATI ANAGRAFICI DEL GAUDIO RAMBALDO 0 6 O 7 2015 F CARUGATE  <START:Prov> GR <END> CODICE FISCALE 
ICE FISCALE M S5H9GWEXN ZC   , ATI ANAGRAFICI DEL GIUDICE RASMO 2 4 6 0 O 4 2 4  F CARUGO  <START:Prov> IM <END> CODICE FISCALE 
ICE FISCALE IXA  FZH19L QO K , ATI ANAGRAFICI DEL JUDD REDENZIO 5O061912 F CARUNCHIO  <START:Prov> IS <END> CODICE FISCALE 
ICE FISCALE 9TKOZAB GMQ6X L  , ATI ANAGRAFICI DEL MONTE REIS 08OO 1913 F CARVICO  <START:Prov> SP <END> CODICE FISCALE 
ICE FISCALE TL YSW9BHG 5N ZE , ATI ANAGRAFICI DEL NERO RENARDO  0741O5  8O  M CARZANO  <START:Prov> AQ <END> CODICE FISCALE 
ICE FISCALE  6IW81TBDYF AUZE , ATI ANAGRAFICI DEL PERO DEL RIO RAFFAELLINO 23031921 F CASABONA  <START:Prov> LT <END> CODICE FISCALE 
ICE FISCALE PLE5OGTFURS 1VKW , ATI ANAGRAFICI DEL PIANO RAMBERTO 06 11 1908 F CASACALENDA  <START:Prov> LE <END> CODICE FISCALE 
ICE FISCALE 9MNS KZHV  W5AFP , ATI ANAGRAFICI DEL POGGETTO RAUL 2505 1943 F CASACANDITELLA  <START:Prov> LC <END> CODICE FISCALE 
ICE FISCALE ZFPE 9L5 1YDAUK6 , ATI ANAGRAFICI DEL REGIBUS REDEO 0 1 0 O 2005 M CASAGIOVE  <START:Prov> LI <END> CODICE FISCALE 
ICE FISCALE Y MD NBR5QT9KLEX , ATI ANAGRAFICI DEL SCOLARI RELDO 6 O 3 2 3 O 4 3  F CASAL CERMELLI  <START:Prov> LO <END> CODICE FISCALE 
ICE FISCALE IRGV1CYW XPSQUO  , ATI ANAGRAFICI DEL TUFO RENATO 16O41912 F CASAL DI PRINCIPE  <START:Prov> LU <END> CODICE FISCALE 
ICE FISCALE XG5VA6NF8L  KHJ  , ATI ANAGRAFICI DEL VERNE RAFFAELO 78O6 1912 F CASAL VELINO  <START:Prov> MC <END> CODICE FISCALE 
ICE FISCALE WTH VOJYF8NIG 1Z , ATI ANAGRAFICI DEL VICARIO RAMBO 15  74 62 389 F CASALANGUIDA  <START:Prov> MN <END> CODICE FISCALE 
ICE FISCALE 5   JH8WSVFU1LE6 , ATI ANAGRAFICI DEL VITELLESI RAULE 10081927 M CASALATTICO  <START:Prov> MS <END> CODICE FISCALE 
ICE FISCALE QCRK8V15AYLGS9BN , ATI ANAGRAFICI DEL ZIO REDES 12 01 1941 F CASALBELTRAME  <START:Prov> MT <END> CODICE FISCALE 
ICE FISCALE IZYX SWCOVP  JA1 , ATI ANAGRAFICI DELAGARONA RELINO 1509 1928 M CASALBORDINO  <START:Prov> VS <END> CODICE FISCALE 
ICE FISCALE LY 9MO1DTQEKS  W , ATI ANAGRAFICI DELAPIETRA RENDINO O 9 O 1 2003 F CASALBORE  <START:Prov> ME <END> CODICE FISCALE 
ICE FISCALE D TB6 RP8INSHU J , ATI ANAGRAFICI DELAQUILA RAFFAELLO 1 9 8 0 8 2 O O  F CASALBORGONE  <START:Prov> MI <END> CODICE FISCALE 
ICE FISCALE QPN8 Z GTV 9ORWX , ATI ANAGRAFICI DELBENEAMO RAMES 0OO81900 M CASALBUONO  <START:Prov> MO <END> CODICE FISCALE 
ICE FISCALE  5AMU P6QHX1L FW , ATI ANAGRAFICI DELBUONO RAULINO 7363 1905 F CASALBUTTANO ED UNITI  <START:Prov> MB <END> CODICE FISCALE 
ICE FISCALE  FS N8POHMAI TC6 , ATI ANAGRAFICI DELDUCA REDESILDO  62087 O54  M CASALCIPRANO  <START:Prov> NA <END> CODICE FISCALE 
ICE FISCALE X EHZIAF8 DB 6WK , ATI ANAGRAFICI DELEBERTE RELIO 04021984 F CASALDUNI  <START:Prov> NO <END> CODICE FISCALE 
ICE FISCALE AETCW XYLP 8U1FR , ATI ANAGRAFICI DELEGATO RENELLO 28 11 1959 M CASALE CORTE CERRO  <START:Prov> NU <END> CODICE FISCALE 
ICE FISCALE  U8AG  HEIOR KZF , ATI ANAGRAFICI DELELLIS RAFFAELUCCIO 0711 1985 M CASALE CREMASCO-VIDOLASCO  <START:Prov> OG <END> CODICE FISCALE 
ICE FISCALE 6S CAQVG XMFTWEU , ATI ANAGRAFICI DELEMATTI RAMI 8 1 1 0 2001 M CASALE DI SCODOSIA  <START:Prov> OT <END> CODICE FISCALE 
ICE FISCALE QTOY KA FURW M6  , ATI ANAGRAFICI DELEONE RAULO 4 1 4 4 5 5 6 4  F CASALE LITTA  <START:Prov> OR <END> CODICE FISCALE 
ICE FISCALE QSJ5NBCGEV D  L1 , ATI ANAGRAFICI DELFINI REDI 42O31904 F CASALE MARITTIMO  <START:Prov> PD <END> CODICE FISCALE 
ICE FISCALE  WCJ9LENFQO1I 8H , ATI ANAGRAFICI DELGENIO REMALDO 0306 1901 M CASALE MONFERRATO  <START:Prov> PA <END> CODICE FISCALE 
ICE FISCALE BTMPIZHFRS6GAYV1 , ATI ANAGRAFICI DELGIORNO RENEO 65O 7  O4 1 M CASALE SUL SILE  <START:Prov> PR <END> CODICE FISCALE 
ICE FISCALE   GUI9HNVW  6MLC , ATI ANAGRAFICI DELGROSSO RAFFALE 29101998 F CASALECCHIO DI RENO  <START:Prov> PV <END> CODICE FISCALE 
ICE FISCALE 5LUW8EX9ZK1  T G , ATI ANAGRAFICI DELIA RAMIRO 14 04 1919 M CASALEGGIO BOIRO  <START:Prov> PG <END> CODICE FISCALE 
ICE FISCALE VXZKH85N YE16PCW , ATI ANAGRAFICI DELIBERO RAVALDO 1605 1991 F CASALEGGIO NOVARA  <START:Prov> PU <END> CODICE FISCALE 
ICE FISCALE O  PK5FBWUMC  9E , ATI ANAGRAFICI DELIBERTO REDIANO O O 8 7 2004 M CASALEONE  <START:Prov> PE <END> CODICE FISCALE 
ICE FISCALE 5TWCEL   P9ZQV8I , ATI ANAGRAFICI DELISA REMEDINO 2 5 0 7 2 5 6 O  M CASALETTO CEREDANO  <START:Prov> PC <END> CODICE FISCALE 
ICE FISCALE 6WTBOJ1GLXIK YVA , ATI ANAGRAFICI DELISIO RENER 03301904 M CASALETTO DI SOPRA  <START:Prov> PI <END> CODICE FISCALE 
ICE FISCALE 1 FI HX TN9RKME8 , ATI ANAGRAFICI DELIZIA RAFFALELE 3446 1900 F CASALETTO LODIGIANO  <START:Prov> PT <END> CODICE FISCALE 
ICE FISCALE   D  R1ZNGXBY8EI , ATI ANAGRAFICI DELL RAMIS 3  6 57O41 2 M CASALETTO SPARTANO  <START:Prov> PN <END> CODICE FISCALE 
ICE FISCALE YIQWUT S HDNEGVZ , ATI ANAGRAFICI DELL’AMORE RE 05011909 F CASALETTO VAPRIO  <START:Prov> PZ <END> CODICE FISCALE 
ICE FISCALE 5NY SAXJZ B6IP   , ATI ANAGRAFICI DELL’API REDINO 13 01 1968 M CASALFIUMANESE  <START:Prov> PO <END> CODICE FISCALE 
ICE FISCALE U XSJHM FEZBV 1D , ATI ANAGRAFICI DELL’ORFANO REMEDIO 0902 1993 F CASALGRANDE  <START:Prov> RG <END> CODICE FISCALE 
ICE FISCALE A JXWIV6ODB G9C  , ATI ANAGRAFICI DELLA RENETTO 8 6 1 9 2008 F CASALGRASSO  <START:Prov> RA <END> CODICE FISCALE 
ICE FISCALE  MJKUS HDCYATFRE , ATI ANAGRAFICI DELLA BARBA RAFFELE O 6 5 3 6 9 1 O  M CASALINCONTRADA  <START:Prov> RC <END> CODICE FISCALE 
ICE FISCALE  H5BCDQX SMNYP W , ATI ANAGRAFICI DELLA BARCA RAMON 74741909 M CASALINO  <START:Prov> RE <END> CODICE FISCALE 
ICE FISCALE  CI8XVOG JBL UPY , ATI ANAGRAFICI DELLA CÀ REALDINO OO09 1902 F CASALI DEL MANCO  <START:Prov> RI <END> CODICE FISCALE 
ICE FISCALE ZDKQ EO G 8MLSBA , ATI ANAGRAFICI DELLA CALCE REDIVO 9 6O4  5 1837 M CASALMAGGIORE  <START:Prov> RN <END> CODICE FISCALE 
ICE FISCALE GVBRQJEL 8 Z NO9 , ATI ANAGRAFICI DELLA CASE REMES 21071962 F CASALMAIOCCO  <START:Prov> RM <END> CODICE FISCALE 
ICE FISCALE W H1 AOGJB T8 X5 , ATI ANAGRAFICI DELLA CHIESA RENI 30 04 1997 F CASALMORANO  <START:Prov> RO <END> CODICE FISCALE 
ICE FISCALE  QZLF 8R S M9IUG , ATI ANAGRAFICI DELLA CORTE RAFFELLO 2203 1961 M CASALMORO  <START:Prov> SA <END> CODICE FISCALE 
ICE FISCALE 8KWJPE F U9C1YML , ATI ANAGRAFICI DELLA DONNA RAMONE 5 O 5 7 2018 F CASALNOCETO  <START:Prov> SS <END> CODICE FISCALE 
ICE FISCALE TN8V  U Q1DFM O9 , ATI ANAGRAFICI DELLA FEMMINA REALDO 4 3 2 O 3 3 5 4  M CASALNUOVO DI NAPOLI  <START:Prov> SV <END> CODICE FISCALE 
ICE FISCALE  68CB1 XFQ ZL Y5 , ATI ANAGRAFICI DELLA FONTE REDO 19821919 F CASALNUOVO MONTEROTARO  <START:Prov> SI <END> CODICE FISCALE 
ICE FISCALE QKOEBD85HJRLU Y1 , ATI ANAGRAFICI DELLA FORTUNA REMI 05O5 1909 F CASALOLDO  <START:Prov> SR <END> CODICE FISCALE 
ICE FISCALE VU5WD EK8GB6 YSH , ATI ANAGRAFICI DELLA GIOIA RENIERI  830 9 5 46O F CASALPUSTERLENGO  <START:Prov> SO <END> CODICE FISCALE 
ICE FISCALE HZFACJB9 I TQ5WP , ATI ANAGRAFICI DELLA GIOVANNA RENIERO 09011904 M CASALROMANO  <START:Prov> TA <END> CODICE FISCALE 
ICE FISCALE VO6NSM BYL9DZERJ , ATI ANAGRAFICI DELLA GRECCIA REUCCIO 06 02 1966 M CASALSERUGO  <START:Prov> TE <END> CODICE FISCALE 
ICE FISCALE O1NBW CLH V56A X , ATI ANAGRAFICI DELLA LEONESSA RICCIARDINO 3011 1949 F CASALUCE  <START:Prov> TR <END> CODICE FISCALE 
ICE FISCALE ZM UYS VA BH1GT  , ATI ANAGRAFICI DELLA MARGARITA RIFREDO 8 1 1 5 2016 M CASALVECCHIO DI PUGLIA  <START:Prov> TP <END> CODICE FISCALE 
ICE FISCALE  TYP FDM1HJUXCL  , ATI ANAGRAFICI DELLA NEVE RIO 8 3 8 5 7 7 4 5  F CASALVECCHIO SICULO  <START:Prov> TN <END> CODICE FISCALE 
