CODICE FISCALE  K 8VLZ1FECHJ SIR ,  DATI ANAGRAFICI ABATE ABACO  POK 23 08 1955 F <START:City> ABANO TERME <END>  AG CODICE FISCALE 
CODICE FISCALE Y6 TFG8IW5H MAN  ,  DATI ANAGRAFICI TERRANELLA CESCHI 20 07 1919 <START:City> CASTAGNARO <END>  CODICE FISCALE
CODICE FISCALE ODLW Z1X958 V GM ,  DATI ANAGRAFICI TERRANOVA CESCI 1808 1968 <START:City> CASTAGNETO CARDUCCI <END>  CODICE FISCALE
CODICE FISCALE U9AJNMFXRW ZTS8B ,  DATI ANAGRAFICI TERRAZZO CESCO O 3 6 5 2012 <START:City> CASTAGNETO PO <END>  CODICE FISCALE
CODICE FISCALE C8E  GDHO 9PX MB ,  DATI ANAGRAFICI TERREMONTO CESENATI 1 3 4 4 9 8 O 1  <START:City> CASTAGNITO <END>  CODICE FISCALE
CODICE FISCALE RF L1JGUIYKCNX95 ,  DATI ANAGRAFICI TERREMOTI CESPARO 83851901 <START:City> CASTAGNOLE DELLE LANZE <END>  CODICE FISCALE
CODICE FISCALE    EQTOUNR  XCVA ,  DATI ANAGRAFICI TERRENOVA CESPUGLIO O1OO 1911 <START:City> CASTAGNOLE MONFERRATO <END>  CODICE FISCALE
CODICE FISCALE DRCS95NPVBKUQ6 W ,  DATI ANAGRAFICI TERRERA CESTARIELLO O O   18632 <START:City> CASTAGNOLE PIEMONTE <END>  CODICE FISCALE
CODICE FISCALE OUSQVGE XN6 8RYJ ,  DATI ANAGRAFICI TERRIBILE CESTARO 21081902 <START:City> CASTANA <END>  CODICE FISCALE
CODICE FISCALE Z  UGB J E 6XKTQ ,  DATI ANAGRAFICI TERRIBILINI CESTI 24 05 1927 <START:City> CASTANO PRIMO <END>  CODICE FISCALE
CODICE FISCALE 8CBTQ V5ALRSMOWJ ,  DATI ANAGRAFICI TERRMARI CESTINE 0305 1987 <START:City> CASTEGGIO <END>  CODICE FISCALE
CODICE FISCALE 9 8 6B5ZHLQRKMDU ,  DATI ANAGRAFICI TERROGLIA CESTONE 0 5 1 2 2017 <START:City> CASTEGNATO <END>  CODICE FISCALE
CODICE FISCALE D R  NQ8G U9JCO6 ,  DATI ANAGRAFICI TERSA CESTONI 1 O O 3 6 O O 1  <START:City> CASTEGNERO <END>  CODICE FISCALE
CODICE FISCALE KNUBEPZW6G9J  51 ,  DATI ANAGRAFICI TERSIGNI CETEANO 061O1918 <START:City> CASTEL BARONIA <END>  CODICE FISCALE
CODICE FISCALE C F XGMAEV8K YIU ,  DATI ANAGRAFICI TERZETTI CETRANGOLO 8OO1 1914 <START:City> CASTEL BOGLIONE <END>  CODICE FISCALE
CODICE FISCALE AWL9TIGHOB KUR1P ,  DATI ANAGRAFICI TERZO CETRONI  350687 41O2 <START:City> CASTEL BOLOGNESE <END>  CODICE FISCALE
CODICE FISCALE M8UWIG5B PYTJDHF ,  DATI ANAGRAFICI TESARINO CETRULO 26071967 <START:City> CASTEL CAMPAGNANO <END>  CODICE FISCALE
CODICE FISCALE KV8IJE6TZXDMR GB ,  DATI ANAGRAFICI TESCARO CEVA 23 08 1997 <START:City> CASTEL CASTAGNA <END>  CODICE FISCALE
CODICE FISCALE 51UB MGHKLXA6PSN ,  DATI ANAGRAFICI TESCIOTTA CEVELETI 0808 1979 <START:City> CASTEL CONDINO <END>  CODICE FISCALE
CODICE FISCALE FEY8DWH NPCLS9ZV ,  DATI ANAGRAFICI TESEI CEVELETTI O 7 0 1 2013 <START:City> CASTEL D'AIANO <END>  CODICE FISCALE
CODICE FISCALE E Z6 8NBHWFQXV   ,  DATI ANAGRAFICI TESFARI CHACIO 0 8 7 O 8 5 2 0  <START:City> CASTEL D'ARIO <END>  CODICE FISCALE
CODICE FISCALE S  Y PJFDLXORE15 ,  DATI ANAGRAFICI TESI CHASAFI 3OO81904 <START:City> CASTEL D'AZZANO <END>  CODICE FISCALE
CODICE FISCALE ZXYW NO PF5AG9 H ,  DATI ANAGRAFICI TESORIERE CHEA 0O83 1907 <START:City> CASTEL DEL GIUDICE <END>  CODICE FISCALE
CODICE FISCALE 5KZX89 TN6HDMUYP ,  DATI ANAGRAFICI TESSARO CHECA 0OO   284 5 <START:City> CASTEL DEL MONTE <END>  CODICE FISCALE
CODICE FISCALE 5L1QMUYB JZK6ASR ,  DATI ANAGRAFICI TESSORI CHECCHI 29011992 <START:City> CASTEL DEL PIANO <END>  CODICE FISCALE
CODICE FISCALE 8BU 1X Y9D IS6FO ,  DATI ANAGRAFICI TESTA CHECKO 22 04 1980 <START:City> CASTEL DEL RIO <END>  CODICE FISCALE
CODICE FISCALE QC Y18B ONUDW JE ,  DATI ANAGRAFICI TESTAGROSSA CHECO 0104 1903 <START:City> CASTEL DI CASIO <END>  CODICE FISCALE
CODICE FISCALE TFOVAQHDZ  B 6SI ,  DATI ANAGRAFICI TESTANERA CHEGOLA 7 5 8 7 2018 <START:City> CASTEL DI IERI <END>  CODICE FISCALE
CODICE FISCALE    GOJE9NFI1M 8W ,  DATI ANAGRAFICI TESTAROSSA CHELENI 3 2 1 3 O 1 2 3  <START:City> CASTEL DI IUDICA <END>  CODICE FISCALE
CODICE FISCALE  VS8AE BWJKC9ZN6 ,  DATI ANAGRAFICI TESTASECCA CHELLA 8O341904 <START:City> CASTEL DI LAMA <END>  CODICE FISCALE
CODICE FISCALE YXCTJMH1Z5O 8I B ,  DATI ANAGRAFICI TESTAVERDE CHELLI 3687 1907 <START:City> CASTEL DI LUCIO <END>  CODICE FISCALE
CODICE FISCALE 6 Z TJUH  1WI 9C ,  DATI ANAGRAFICI TESTENA CHELLO 027O  O819 36 <START:City> CASTEL DI SANGRO <END>  CODICE FISCALE
CODICE FISCALE   MXYPAOWH9 CGV1 ,  DATI ANAGRAFICI TESTERA CHEMINELLI 28081939 <START:City> CASTEL DI SASSO <END>  CODICE FISCALE
CODICE FISCALE  1R JFMLGP COIBX ,  DATI ANAGRAFICI TESTIERI CHENERA 02 06 1924 <START:City> CASTEL DI TORA <END>  CODICE FISCALE
CODICE FISCALE SR6H W1LDI GXO8  ,  DATI ANAGRAFICI TESTOLINI CHERCU 2803 1900 <START:City> CASTEL FOCOGNANO <END>  CODICE FISCALE
CODICE FISCALE LQEFG UY KR P8CM ,  DATI ANAGRAFICI TESTONI CHERUBINI 4 6 8 O 2015 <START:City> CASTEL FRENTANO <END>  CODICE FISCALE
CODICE FISCALE J 1  TOF6H ALZBV ,  DATI ANAGRAFICI TESTORE CHETTA 1 9 6 0 7 0 9 2  <START:City> CASTEL GABBIANO <END>  CODICE FISCALE
CODICE FISCALE GXDTZU  EAR5 89B ,  DATI ANAGRAFICI TETESCO CHIABRA 4O881916 <START:City> CASTEL GANDOLFO <END>  CODICE FISCALE
CODICE FISCALE E89TY1M IWLXR VQ ,  DATI ANAGRAFICI TETTI CHIACCHID 4540 1902 <START:City> CASTEL GIORGIO <END>  CODICE FISCALE
CODICE FISCALE BUAE6NT58 YCX9VZ ,  DATI ANAGRAFICI TETTONI CHIACCHINI 9 3056O1 82 <START:City> CASTEL GOFFREDO <END>  CODICE FISCALE
CODICE FISCALE 95Z  HCB8 QYXUGO ,  DATI ANAGRAFICI TEUTONICO CHIACCHIRARELLE 12081970 <START:City> CASTEL GUELFO DI BOLOGNA <END>  CODICE FISCALE
CODICE FISCALE  Z9XMHFI BTA1OK5 ,  DATI ANAGRAFICI TEZA CHIACCONE 10 05 1944 <START:City> CASTEL IVANO <END>  CODICE FISCALE
CODICE FISCALE DGXUPEZCJT5  Q F ,  DATI ANAGRAFICI TEZZI CHIALASTRI 0701 1973 <START:City> CASTEL MADAMA <END>  CODICE FISCALE
CODICE FISCALE  WN  UJSTVYDE 8P ,  DATI ANAGRAFICI THEATORACOPULO CHIAMELLE 7 0 8 7 2003 <START:City> CASTEL MAGGIORE <END>  CODICE FISCALE
CODICE FISCALE Z9Q WHG581E  O A ,  DATI ANAGRAFICI THOMAS CHIAMETTI 4 4 1 7 9 3 8 9  <START:City> CASTEL MELLA <END>  CODICE FISCALE
CODICE FISCALE MSBIQ6VYP X9UJE  ,  DATI ANAGRAFICI TIANI CHIANCONE 44171902 <START:City> CASTEL MORRONE <END>  CODICE FISCALE
CODICE FISCALE OQZPGRXK9JN6B CE ,  DATI ANAGRAFICI TIANIC CHIANESE 2O5O 1908 <START:City> CASTEL RITALDI <END>  CODICE FISCALE
CODICE FISCALE  RIF1 9AYE5X  PQ ,  DATI ANAGRAFICI TIANO CHIANO 36O4  57 20 <START:City> CASTEL ROCCHERO <END>  CODICE FISCALE
CODICE FISCALE  M8TDSZOKCW5BVNQ ,  DATI ANAGRAFICI TIBERIO CHIANTA 20111951 <START:City> CASTEL ROZZONE <END>  CODICE FISCALE
CODICE FISCALE KQLJO YC8FG PRXB ,  DATI ANAGRAFICI TIBOLDI CHIAPPA 22 06 1967 <START:City> CASTEL SAN GIORGIO <END>  CODICE FISCALE
CODICE FISCALE U1FGJT8CO 5B LPR ,  DATI ANAGRAFICI TIERI CHIAPPARELLI 1206 1978 <START:City> CASTEL SAN GIOVANNI <END>  CODICE FISCALE
CODICE FISCALE  S59K LAU VCYXTG ,  DATI ANAGRAFICI TIERNO CHIAPPELLI 6 O 5 O 2019 <START:City> CASTEL SAN LORENZO <END>  CODICE FISCALE
CODICE FISCALE YDH VW I QM8SZB  ,  DATI ANAGRAFICI TIGLIO CHIAPPERI 4 2 4 8 2 2 0 8  <START:City> CASTEL SAN NICCOLÒ <END>  CODICE FISCALE
CODICE FISCALE  IW  8P OFREMKNS ,  DATI ANAGRAFICI TIGNOSINI CHIAPPETTA 63441917 <START:City> CASTEL SAN PIETRO ROMANO <END>  CODICE FISCALE
CODICE FISCALE  MG XN K A O9ZRF ,  DATI ANAGRAFICI TIGNUSO CHIAPPI 4774 1911 <START:City> CASTEL SAN PIETRO TERME <END>  CODICE FISCALE
CODICE FISCALE LB  6 9JW G CIKO ,  DATI ANAGRAFICI TIGOZZI CHIAPUSSO OO32780149  <START:City> CASTEL SAN VINCENZO <END>  CODICE FISCALE
CODICE FISCALE C OH1RX9JEVTL5I8 ,  DATI ANAGRAFICI TIGRI CHIARAMENTI 21061951 <START:City> CASTEL SANT'ANGELO <END>  CODICE FISCALE
CODICE FISCALE 1 GWAP9MZN68UH Y ,  DATI ANAGRAFICI TIGRINI CHIARAMONTE 03 01 1915 <START:City> CASTEL SANT'ELIA <END>  CODICE FISCALE
CODICE FISCALE NV BAC QO8 J1DSY ,  DATI ANAGRAFICI TILLETERI CHIARAZZO 1404 1965 <START:City> CASTEL VISCARDO <END>  CODICE FISCALE
CODICE FISCALE WGTAPI C V 1MS8L ,  DATI ANAGRAFICI TILOTTA CHIARCHIARI 3 6 O 7 2018 <START:City> CASTEL VITTORIO <END>  CODICE FISCALE
CODICE FISCALE  KYTXVCZPAJH9Q 6 ,  DATI ANAGRAFICI TIMPANARO CHIARELLI 7 6 7 O 6 7 9 1  <START:City> CASTEL VOLTURNO <END>  CODICE FISCALE
CODICE FISCALE  6G BF9NXR E ZPT ,  DATI ANAGRAFICI TIMPANELLI CHIARELLO 0O451903 <START:City> CASTELBALDO <END>  CODICE FISCALE
CODICE FISCALE YDMSOBTLZWK6J H  ,  DATI ANAGRAFICI TIMPANO CHIAROMONTE 84OO 1906 <START:City> CASTELBELFORTE <END>  CODICE FISCALE
CODICE FISCALE 59A X HKBC8TEU   ,  DATI ANAGRAFICI TIMPONE CHIARUCCI 48  29  O60O <START:City> CASTELBELLINO <END>  CODICE FISCALE
CODICE FISCALE  XDU1ABENL8MOK C ,  DATI ANAGRAFICI TINCA CHIATTELLINI 08071936 <START:City> CASTELBELLO-CIARDES <END>  CODICE FISCALE
CODICE FISCALE   NU J8C59D KEXO ,  DATI ANAGRAFICI TINCO CHIATTI 05 09 1930 <START:City> CASTELBIANCO <END>  CODICE FISCALE
CODICE FISCALE XYO K1HC5E  NIMF ,  DATI ANAGRAFICI TINELLI CHIATTO 0702 1930 <START:City> CASTELBOTTACCIO <END>  CODICE FISCALE
CODICE FISCALE KVD MQZ C HFEAR1 ,  DATI ANAGRAFICI TINELLO CHIATTONE 8 7 4 0 2016 <START:City> CASTELBUONO <END>  CODICE FISCALE
CODICE FISCALE 58B KY D O6C H1P ,  DATI ANAGRAFICI TINETIO CHIAVARINI 3 9 9 0 1 3 6 0  <START:City> CASTELCIVITA <END>  CODICE FISCALE
CODICE FISCALE ZHAB1Q W K5NXV O ,  DATI ANAGRAFICI TINGARO CHIAVARO 64021901 <START:City> CASTELCOVATI <END>  CODICE FISCALE
CODICE FISCALE 8 EOXUL 59BYCNVG ,  DATI ANAGRAFICI TINIVELLI CHIAVE 2041 1903 <START:City> CASTELCUCCO <END>  CODICE FISCALE
CODICE FISCALE GZ 6IRCP5U LMHF9 ,  DATI ANAGRAFICI TINTO CHIAVETTO 732  8069O14 <START:City> CASTELDACCIA <END>  CODICE FISCALE
CODICE FISCALE  98N1I HXVBJZAFL ,  DATI ANAGRAFICI TINTORI CHIAZZA 19081906 <START:City> CASTELDELCI <END>  CODICE FISCALE
CODICE FISCALE JFOGZ1 Y DKLRTW  ,  DATI ANAGRAFICI TIRABASSI CHICARELLI 22 01 1996 <START:City> CASTELDELFINO <END>  CODICE FISCALE
CODICE FISCALE IMU  6JE DOFQZ5T ,  DATI ANAGRAFICI TIRANETTO CHICCA 0708 1909 <START:City> CASTELDIDONE <END>  CODICE FISCALE
CODICE FISCALE  BQ  XZ 16GNECRU ,  DATI ANAGRAFICI TIRANNO CHICCHI 5 0 3 7 2016 <START:City> CASTELFIDARDO <END>  CODICE FISCALE
CODICE FISCALE  Z6FHBNROAV YCUP ,  DATI ANAGRAFICI TIRELLETTO CHICCHIRELLO 5 5 O 2 3 4 6 4  <START:City> CASTELFIORENTINO <END>  CODICE FISCALE
CODICE FISCALE 8KH N1SMVY6CPFDQ ,  DATI ANAGRAFICI TIRONDOLA CHICCORINO 73331911 <START:City> CASTELFONDO <END>  CODICE FISCALE
CODICE FISCALE Z5JWRNKTBMED1 P  ,  DATI ANAGRAFICI TIRONI CHIDAROLO 5987 1906 <START:City> CASTELFORTE <END>  CODICE FISCALE
CODICE FISCALE 6N V9 O LWY RU18 ,  DATI ANAGRAFICI TIRRINNANZI CHIDICHIANO 3O 917   54 2 <START:City> CASTELFRANCI <END>  CODICE FISCALE
CODICE FISCALE 1S8LD Z5MYO6NRA  ,  DATI ANAGRAFICI TIRZO CHIECO 09051911 <START:City> CASTELFRANCO PIANDISCÒ <END>  CODICE FISCALE
CODICE FISCALE SYZFQ6GC T 8NDAI ,  DATI ANAGRAFICI TISFASLI CHIESA 22 03 1915 <START:City> CASTELFRANCO DI SOTTO <END>  CODICE FISCALE
CODICE FISCALE  BJ P  5TWIMHSGZ ,  DATI ANAGRAFICI TITOMANLIO CHILD 2606 1952 <START:City> CASTELFRANCO EMILIA <END>  CODICE FISCALE
CODICE FISCALE G CKZQ OE8 5WPMN ,  DATI ANAGRAFICI TITONE CHIMENELLA 0 8 6 1 2017 <START:City> CASTELFRANCO IN MISCANO <END>  CODICE FISCALE
CODICE FISCALE N P W61SM85TBA 9 ,  DATI ANAGRAFICI TITTONI CHIMENTI 1 O 0 O 8 9 0 3  <START:City> CASTELFRANCO VENETO <END>  CODICE FISCALE
CODICE FISCALE CH8FYD1ZTSPNAX   ,  DATI ANAGRAFICI TIZIANI CHIMENTO 35701912 <START:City> CASTELGERUNDO <END>  CODICE FISCALE
CODICE FISCALE S 6PZAH9VDYFEGJT ,  DATI ANAGRAFICI TIZIANNO CHIMINELLI 7464 1910 <START:City> CASTELGOMBERTO <END>  CODICE FISCALE
CODICE FISCALE AUW  T BLK91SHR  ,  DATI ANAGRAFICI TIZZO CHIMO O378 69 5O  4 <START:City> CASTELGRANDE <END>  CODICE FISCALE
CODICE FISCALE 8Z SQJ9 GWUYKBHT ,  DATI ANAGRAFICI TIZZONE CHIMOTTI 29091915 <START:City> CASTELGUGLIELMO <END>  CODICE FISCALE
CODICE FISCALE 1WPVB9LOQ  N6SIX ,  DATI ANAGRAFICI TOBARELLA CHINAZZI 28 02 1950 <START:City> CASTELGUIDONE <END>  CODICE FISCALE
CODICE FISCALE EN1 FZOH9S MVT5  ,  DATI ANAGRAFICI TOCCHI CHINDEMI 2003 1954 <START:City> CASTELL'ALFERO <END>  CODICE FISCALE
CODICE FISCALE MJ5HWI RS1CDNAG  ,  DATI ANAGRAFICI TODARO CHINES 1 2 O 9 2018 <START:City> CASTELL'ARQUATO <END>  CODICE FISCALE
CODICE FISCALE  V ZPB  5IK9 TYN ,  DATI ANAGRAFICI TODDINO CHINI 0 2 3 7 7 0 O 5  <START:City> CASTELL'AZZARA <END>  CODICE FISCALE
CODICE FISCALE GF8QKZD 1  BRLVM ,  DATI ANAGRAFICI TODESCHINI CHINNICI 528O1904 <START:City> CASTELL'UMBERTO <END>  CODICE FISCALE
CODICE FISCALE   XSLB5OCJMPWI E ,  DATI ANAGRAFICI TODORA CHINO 2589 1907 <START:City> CASTELLABATE <END>  CODICE FISCALE
CODICE FISCALE T6H8 BLGYCMV P9R ,  DATI ANAGRAFICI TOESCHI CHIOCCIA 5 3O914  O6 <START:City> CASTELLAFIUME <END>  CODICE FISCALE
CODICE FISCALE SE WHJI D9RM AY6 ,  DATI ANAGRAFICI TOFANO CHIOCCIOLA 24061943 <START:City> CASTELLALTO <END>  CODICE FISCALE
CODICE FISCALE SOWD HEK9  68INU ,  DATI ANAGRAFICI TOFARO CHIODI 27 05 1950 <START:City> CASTELLAMMARE DEL GOLFO <END>  CODICE FISCALE
CODICE FISCALE XG5J HSL9K8YFE Z ,  DATI ANAGRAFICI TOFOLETTI CHIODO 2801 1924 <START:City> CASTELLAMMARE DI STABIA <END>  CODICE FISCALE
CODICE FISCALE 8YW  I RFS6 N1BC ,  DATI ANAGRAFICI TOFFARO CHIOPPETTA 3 1 4 O 2016 <START:City> CASTELLAMONTE <END>  CODICE FISCALE
CODICE FISCALE XRJ9 VUQFEHW5SOT ,  DATI ANAGRAFICI TOFFOLETTI CHIOPPIO 2 2 6 0 6 3 5 6  <START:City> CASTELLANA GROTTE <END>  CODICE FISCALE
CODICE FISCALE 8VDK IGX U 1YWS5 ,  DATI ANAGRAFICI TOGLIA CHIOSTRELLI 23OO1905 <START:City> CASTELLANA SICULA <END>  CODICE FISCALE
CODICE FISCALE Z RUI 9QNP6 HG F ,  DATI ANAGRAFICI TOGNO CHIOVANO 469O 1906 <START:City> CASTELLANETA <END>  CODICE FISCALE
CODICE FISCALE OAXRNT 518FEQL M ,  DATI ANAGRAFICI TOHRALIA CHIOVARO   158 269O03  <START:City> CASTELLANIA <END>  CODICE FISCALE
CODICE FISCALE JAEWTFX D1R9BPLY ,  DATI ANAGRAFICI TOIA CHIOVASO 27091930 <START:City> CASTELLANZA <END>  CODICE FISCALE
CODICE FISCALE M DGZ 6LTSKY9UX8 ,  DATI ANAGRAFICI TOLEDO CHIOVENDA 24 04 1973 <START:City> CASTELLAR GUIDOBONO <END>  CODICE FISCALE
CODICE FISCALE T S5XF9O DP 6Y H ,  DATI ANAGRAFICI TOLLIVER CHIOZZA 1109 1952 <START:City> CASTELLARANO <END>  CODICE FISCALE
CODICE FISCALE  CPZSGU TEO J 6R ,  DATI ANAGRAFICI TOLMINI CHIOZZI 0 6 O 1 2011 <START:City> CASTELLARO <END>  CODICE FISCALE
CODICE FISCALE  PMAW6DGKUVB 5IH ,  DATI ANAGRAFICI TOLOMEO CHIRCO 8 O 8 9 7 9 3 1  <START:City> CASTELLAZZO BORMIDA <END>  CODICE FISCALE
CODICE FISCALE XYVF1JDWKH6RTQEU ,  DATI ANAGRAFICI TOLONI CHIRICO 43561917 <START:City> CASTELLAZZO NOVARESE <END>  CODICE FISCALE
CODICE FISCALE VNR 8WUHQTMB6F E ,  DATI ANAGRAFICI TOLOSANI CHIRIELEISON 8158 1913 <START:City> CASTELLEONE <END>  CODICE FISCALE
CODICE FISCALE 9Q 8V PAXC1T OBL ,  DATI ANAGRAFICI TOMAIULO CHIRILLO O692  O71 58 <START:City> CASTELLEONE DI SUASA <END>  CODICE FISCALE
CODICE FISCALE S NG 6HPK  I58FA ,  DATI ANAGRAFICI TOMASELLO CHIRUCO 30041971 <START:City> CASTELLERO <END>  CODICE FISCALE
CODICE FISCALE HBL5FOVJIE   9C   OT DATI ANAGRAFICI TOMASIEL CHISFIFRETTA 02 03 1999     CODICE FISCALE 
CODICE FISCALE QRLMUD 8F VYKSG   OT DATI ANAGRAFICI TOMASIELLO CHISIZA 0210 1907     CODICE FISCALE 
CODICE FISCALE DV1S5WGYAUBF IK6  OT DATI ANAGRAFICI TOMASSIOLO CHITARRIN 2 8 7 3 2002     CODICE FISCALE 
CODICE FISCALE J8TBWMDHSRXVE5 Y  OT DATI ANAGRAFICI TOMASSO CHIUPPO 9 7 3 7 0 9 O 5      CODICE FISCALE 
CODICE FISCALE NW5 LBH 6 1IPZSA  OT DATI ANAGRAFICI TOMATI CHIURLO 59331915     CODICE FISCALE 
CODICE FISCALE O1E SDPJQZ8V5H6I  OT DATI ANAGRAFICI TOMBA CHIUSI 76O8 1914     CODICE FISCALE 
CODICE FISCALE WZ1M TSN EYLVO R  OT DATI ANAGRAFICI TOMBARI CHIVATTA 53O74 9 621     CODICE FISCALE 
CODICE FISCALE 9FJNCL DEBZ5 61Q  OT DATI ANAGRAFICI TOMBASINO CHIZZOLA 09101909     CODICE FISCALE 
CODICE FISCALE D1PR8WCTNZBLVEOY  OT DATI ANAGRAFICI TOMBRAGLIGLIO CHIZZOLI 05 05 1976     CODICE FISCALE 
CODICE FISCALE  M 9DH51NP U SVB  OT DATI ANAGRAFICI TOMINELLO CHOVARO 0102 1902     CODICE FISCALE 
CODICE FISCALE  ZBPYTDXR1VS FH   OT DATI ANAGRAFICI TOMONA CHRISTIANO 5 9 O 1 2009     CODICE FISCALE 
CODICE FISCALE HSIBRL1V5M6AWXND  OT DATI ANAGRAFICI TONALE CHRISTOFARO 6 O 3 9 3 8 2 9      CODICE FISCALE 
CODICE FISCALE DABHOM UWR Z8QVS  OT DATI ANAGRAFICI TONASELLO CHRITELLO 89281910     CODICE FISCALE 
CODICE FISCALE 5RQ  DTV1OXGPCUB  OT DATI ANAGRAFICI TONDI CHUMENTO 1491 1918     CODICE FISCALE 
CODICE FISCALE DVOJ IGYTBP K9WS  OT DATI ANAGRAFICI TONDO CHUNCATO  7O49 053O 2     CODICE FISCALE 
CODICE FISCALE F D1VN5P8 ET6H S  OT DATI ANAGRAFICI TONI CHUNVARO 20081942     CODICE FISCALE 
CODICE FISCALE TP59BIO H ULZSJ8  OT DATI ANAGRAFICI TONIETTI CIABATTINI 30 05 1935     CODICE FISCALE 
CODICE FISCALE XFS1E 6 COQZ8JI   OT DATI ANAGRAFICI TONNASELLI CIABBATERI 0203 1957     CODICE FISCALE 
CODICE FISCALE 6SVDUK1MO  Y I5   OT DATI ANAGRAFICI TONNI CIABRONE 8 6 1 0 2002     CODICE FISCALE 
CODICE FISCALE RY816CBSLTA JUI   OT DATI ANAGRAFICI TONSO CIACCIO 1 O O O 8 8 0 2      CODICE FISCALE 
CODICE FISCALE A X1N  PU MQLJE9  OT DATI ANAGRAFICI TOPAZIO CIACCO 7O4O1903     CODICE FISCALE 
CODICE FISCALE TFQ9VY6DKJ  O5N   OT DATI ANAGRAFICI TOPAZZINI CIACENA 4OO4 1901     CODICE FISCALE 
CODICE FISCALE SNCRAUK1O H TPDG  OT DATI ANAGRAFICI TOPERINO CIAFFONE  O386945071 2     CODICE FISCALE 
CODICE FISCALE 19 WB MD5Z F8XNC  OT DATI ANAGRAFICI TOPINO CIALEO 12061930     CODICE FISCALE 
CODICE FISCALE C9WPBS1V TY  IDU  OT DATI ANAGRAFICI TOPO CIALONA 10 09 1952     CODICE FISCALE 
CODICE FISCALE NCD RI 5M XVL G6  OT DATI ANAGRAFICI TOPPIANE CIALONE 1710 1973     CODICE FISCALE 
CODICE FISCALE AMI9J   6WK1 XDF  OT DATI ANAGRAFICI TORCHI CIAMBECCHINI 9 7 3 7 2014     CODICE FISCALE 
CODICE FISCALE ZMDXBOW5I T6ERVU  OT DATI ANAGRAFICI TORCHIA CIAMBELLANI 6 3 2 2 4 2 5 4      CODICE FISCALE 
CODICE FISCALE 6T YI1 JD M QKBE  OT DATI ANAGRAFICI TORCICOLLO CIAMBELLOTTI 98491905     CODICE FISCALE 
CODICE FISCALE UC1GBDNIXYE9TVM5  OT DATI ANAGRAFICI TORDELLA CIAMBERLINI 8509 1914     CODICE FISCALE 
CODICE FISCALE SEGKHWY1X ZVATF9  OT DATI ANAGRAFICI TORDO CIAMBRA 2O7450O183       CODICE FISCALE 
CODICE FISCALE YVC8OT1XZ  PS RI  OT DATI ANAGRAFICI TORELICA CIAMBRIELLO 18111975     CODICE FISCALE 
CODICE FISCALE  NM  6R QPAFLUYI  OT DATI ANAGRAFICI TORELLO CIAMBRONE 28 09 1926     CODICE FISCALE 
CODICE FISCALE 9  QM6B GXH ENUO  OT DATI ANAGRAFICI TORI CIAMMELLA 0102 1940     CODICE FISCALE 
CODICE FISCALE D B XZ86L5RJ TEK  OT DATI ANAGRAFICI TORICIO CIAMPI 4 4 1 5 2005     CODICE FISCALE 
CODICE FISCALE  6E  8TAFLQ 9SO   OT DATI ANAGRAFICI TORINO CIAMPOLI 6 6 8 2 9 4 O 2      CODICE FISCALE 
CODICE FISCALE BMWGC 6FJPXQN19   OT DATI ANAGRAFICI TORIO CIAN 90991909     CODICE FISCALE 
CODICE FISCALE L1 G  6SANEJ5KWO  OT DATI ANAGRAFICI TORNABENE CIANCI 5O69 1911     CODICE FISCALE 
CODICE FISCALE BXQ MWLR NCIGHD8  OT DATI ANAGRAFICI TORNELLO CIANCIMINO 8 0 2O57 3      CODICE FISCALE 
CODICE FISCALE 6P U1FEDWVYZH8 A  OT DATI ANAGRAFICI TORNILLO CIANCIO 09011944     CODICE FISCALE 
CODICE FISCALE  G1 FQMWPRHC A 5  OT DATI ANAGRAFICI TORO CIANCIOSI 29 10 1960     CODICE FISCALE 
CODICE FISCALE Z5VRA MD TYXSOF6  OT DATI ANAGRAFICI TORORTICI CIANETTA 1208 1964     CODICE FISCALE 
CODICE FISCALE XJ6QU 5AB KPGZOM  OT DATI ANAGRAFICI TORQUATI CIANFARRA 8 5 O 8 2002     CODICE FISCALE 
CODICE FISCALE A P16CZ WGUSNK Y  OT DATI ANAGRAFICI TORRE CIANFERONE 3 8 6 6 8 9 0 8      CODICE FISCALE 
CODICE FISCALE 6K9NMXOAD5 WZJ U  OT DATI ANAGRAFICI TORREGROSSA CIANFRONE 53171907     CODICE FISCALE 
CODICE FISCALE Y NUEKW D896JSFT  OT DATI ANAGRAFICI TORRENTE CIANI 4O32 1906     CODICE FISCALE 
CODICE FISCALE  IKMTX18B V GE5L  OT DATI ANAGRAFICI TORRES CIANNELLI   6OO7219 4     CODICE FISCALE 
CODICE FISCALE QRL  G9VYEKSWP C  OT DATI ANAGRAFICI TORRIERI CIANNI 22091923     CODICE FISCALE 
CODICE FISCALE VLHAOM6F DGJWI 5  OT DATI ANAGRAFICI TORRIETTE CIAPARELLI 20 03 1952     CODICE FISCALE 
CODICE FISCALE   EHUBK5JZPQYGND  OT DATI ANAGRAFICI TORRISI CIAPELLI 1002 1942     CODICE FISCALE 
CODICE FISCALE  HZQFEG XBNKTLSP  OT DATI ANAGRAFICI TORRONE CIAPPA O O 2 2 2011     CODICE FISCALE 
CODICE FISCALE IVEFSLXBM 1R8 OQ  OT DATI ANAGRAFICI TORSELLI CIAPPI O 7 2 O 6 2 O 9      CODICE FISCALE 
